"0.4H","0.5H","0.8H","1H","2H","3H","5H","8H","1K","2K","3K","5K","6K","8K","10K","12K","15K","20K","25K","30K","40K","50K","60K","65K","75K","80K","100K","140K","200K","LAMINA","ELO","S/C","10F","1EF","40EF","65EF","80EF","100EF","6T","8T","10T","12T","15T","20T","25T","30T","40T","50T","65T","80T","100T"
,,,,,,,,"28.8876;0.045001","71.6329;0.03767","116.123;0.036813","121.795;0.050172","34.8254;0.706692","31.9236;2.05616","86.4309;0.356236","56.6757;1.78575","106.414;0.634346","118.907;0.901982","273.511;0.275777","169.244;1.25714","299.569;0.553684","204.659;2.97678",,"590.13;0.397261",,"391.249;1.6501","630.393;0.973205","10000;0.018849",,,,,,,,,,,"86.0859;0.286172","82.7932;0.600399","75.8946;1.22732","89.9583;1.55556","213.651;0.480868","137.049;1.87543","272.147;0.762494","209.63;2.46413","1153.25;0.133565","894.57;0.317854","1329.21;0.224436","1338.55;0.338523","1713.58;0.364524"
,,,,,,,,"34.0289;0.035863","86.777;0.029833","133.844;0.030559","144.217;0.039776","37.0529;0.617448","33.4264;1.75741","96.192;0.290787","59.7008;1.52171","115.277;0.53732","130.626;0.723858","314.928;0.213704","179.351;1.08095","329.094;0.456046","211.314;2.68006",,"674.076;0.313435",,"415.027;1.40753","673.402;0.835136",,,,,,,,,,,,"102.038;0.206974","93.9108;0.464329","82.9589;1.02003","98.0371;1.29542","260.954;0.327534","157.96;1.4288","320.327;0.549822","224.38;2.08723","1419.9;0.093559","1025.91;0.244837","1648.04;0.151652","1501.68;0.268699","1980.97;0.273033"
,,,,,,,,"39.5077;0.029554","101.166;0.024739","158.32;0.024765","170.06;0.0322","39.3835;0.53732","34.721;1.55246","107.377;0.236889","62.1994;1.36048","126.893;0.45196","145.524;0.572833","357.932;0.169795","188.358;0.952981","371.795;0.369294","222.37;2.25656",,"757.742;0.254829",,"447.798;1.1375","722.23;0.712368",,,,,,,,,,,,"121.552;0.150896","108.89;0.349182","91.0443;0.840162","111.535;1.00887","308.383;0.241192","183.523;1.05637","384.269;0.390955","253.241;1.59017","1708.45;0.069033","1186;0.188028","1916.66;0.116232","1662.94;0.220653","2378.77;0.191061"
,,,,,,,,"47.6621;0.023162","117.455;0.020666","192.189;0.019944","200.742;0.025769","42.5358;0.462475","36.138;1.37415","123.636;0.183019","65.1274;1.1863","140.378;0.375626","158.593;0.486674","413.37;0.131972","200.005;0.825174","431.101;0.280505","230.521;2.00941",,"860.353;0.203485",,"477.872;0.968352","777.702;0.615598",,,,,,,,,,,,"144.654;0.11134","123.76;0.273306","100.217;0.692006","127.02;0.775567","364.069;0.179575","208.793;0.812889","457.759;0.284176","266.492;1.43023","2082.53;0.051346","1402.96;0.139993","2308.47;0.085763","1850.74;0.178858","2836.54;0.139155"
,,,,,,,,"60.0584;0.018362","135.801;0.017426","224.99;0.017101","237.206;0.021081","46.0785;0.394884","37.9909;1.19105","144.654;0.139434","68.6723;1.03752","158.435;0.297256","178.1;0.390565","467.474;0.106547","212.373;0.708107","482.675;0.227601","238.255;1.78575",,"985.691;0.160869",,"514.062;0.823526","839.111;0.533039",,,,,,,,,,,,"171.974;0.083729","143.071;0.208636","110.979;0.564305","145.67;0.595019","428.951;0.134235","238.255;0.627406","539.878;0.209263","291.88;1.16513","2458.58;0.040189","1639.82;0.107082","2711.72;0.066792","2111.89;0.140554","3338.71;0.103295"
,,,,,,,,"74.9761;0.015419","155.071;0.01563","266.41;0.015163","278.844;0.017963","50.1163;0.339201","39.6601;1.05531","162.445;0.114846","71.618;0.932245","177.744;0.239749","195.653;0.332152","542.584;0.083062","227.544;0.620543","545.849;0.182471","249.971;1.54935",,"1156.71;0.122681",,"562.473;0.674246","940.435;0.431641",,,,,,,,,,,,"204.454;0.063853","157.487;0.175316","120.946;0.475608","167.56;0.452865","532.372;0.092628","269.979;0.493535","664.705;0.144545","337.088;0.870089","2970.07;0.031081","1922.42;0.083062","3256.28;0.050988","2366.91;0.114961","3894.58;0.079249"
,,,,,,,,"94.1831;0.013615","184.001;0.014019","322.733;0.013572","334.311;0.015565","54.4534;0.28847","41.32;0.942556","181.879;0.094973","75.8188;0.812077","199.406;0.193948","214.937;0.274951","622.251;0.066128","244.287;0.52985","606.887;0.152108","266.492;1.29931",,"1330.54;0.096891",,"611.15;0.57859","1043.5;0.360176",,,,,,,,,,,,"252.483;0.046693","173.182;0.147465","130.757;0.408133","192.74;0.348484","630.393;0.070217","308.383;0.381303","784.733;0.108591","377.037;0.690623","3402.75;0.026039","2229.07;0.065535","3957.39;0.038962","2687.43;0.093092","4625.5;0.059955"
,,,,,,,,"10000;0.013057","10000;0.013057","10000;0.013057","408.786;0.013801","59.2844;0.247545","44.095;0.814517","206.922;0.076906","81.7238;0.683068","221.261;0.162486","236.593;0.229888","699.484;0.054412","263.576;0.460629","678.811;0.126039","280.716;1.12057",,"1535.08;0.076446",,"680.851;0.475608","1174.2;0.290497",,,,,,,,,,,,"309.001;0.035325","193.9;0.122681","141.789;0.346053","222.815;0.26576","790.245;0.049679","354.725;0.292537","953.694;0.078382","418.36;0.56149","3933.72;0.021663","2597.59;0.051966","4882.15;0.029535","2984.96;0.078932","5304.66;0.048211"
,,,,,,,,"10000;0.013057","10000;0.013057","10000;0.013057","10000;0.013057","64.6731;0.214346","46.9154;0.697564","230.291;0.064431","89.4201;0.564869","261.215;0.122559","263.05;0.189918","783.165;0.044952","282.971;0.400852","753.209;0.105593","297.479;0.977106",,"1734.27;0.06284",,"755.472;0.388617","1305.5;0.240469",,,,,,,,,,,,"409.666;0.024351","225.055;0.094783","156.545;0.286172","257.583;0.204096","975.883;0.036364","405.185;0.229888","1090.44;0.063471","464.677;0.459249","4312.79;0.019406","3063.58;0.041206","6016.98;0.022728","3315.42;0.066792","6089.62;0.039157"
,,,,,,,,"118.065;0.013057","237.452;0.013057","371.599;0.013043","10000;0.013057","71.9769;0.177255","49.469;0.61683","259.652;0.053495","98.0371;0.469935","295.109;0.099245","292.464;0.158157","876.856;0.037584","316.506;0.327207","864.666;0.084402","311.794;0.869219",,"1933.99;0.052279",,"830.762;0.32525","1469;0.195115",,,,,,,,,,,,"482.192;0.019937","258.099;0.075989","169.923;0.245327","293.343;0.162323","1229.47;0.026353","460.975;0.181924","1277.09;0.04958","515.606;0.375626","4848.09;0.017454","3704.64;0.031963","6928.09;0.019175","3704.64;0.056576","7246.98;0.030526"
,,,,,,,,,,,"500.369;0.013057","78.0497;0.154253","52.5805;0.541636","291.297;0.044327","107.377;0.396071","335.406;0.080607","324.843;0.130921","972.96;0.032349","348.746;0.277159","974.908;0.069657","327.453;0.775567",,"2137.39;0.044106",,"937.618;0.262065","1694.83;0.15333",,,,,,,,,,,,"521.831;0.018349","286.387;0.064818","189.681;0.199655","338.1;0.126671","1419.9;0.021924","542.584;0.136673","1521.33;0.038191","594.87;0.286745","5449.83;0.015888","4312.79;0.026248","10000;0.013298","4240.09;0.04688","8286.14;0.025472"
,,,,,,,,,,,,"85.9139;0.131314","56.4495;0.471818","319.368;0.038114","118.907;0.32525","375.156;0.067262","360.086;0.109902","1088.26;0.027649","386.195;0.230348","1119.17;0.055901","350.144;0.670883",,"2366.91;0.03736",,"1025.91;0.223764","1878.71;0.128843",,,,,,,,,,,,"568.694;0.017057","312.106;0.057202","209.63;0.167267","383.501;0.10237","1524.37;0.019957","629.763;0.104961","1832.32;0.029447","664.705;0.232198","5939.26;0.014888","4814.27;0.023048","10000;0.013298","4648.69;0.041413","9389.43;0.021598"
,,,,,,,,,,,,"92.5127;0.115076","59.3437;0.424789","353.309;0.032609","129.845;0.277714","410.487;0.057374","387.743;0.097474","1212.38;0.024013","414.612;0.201662","1235.63;0.047493","382.735;0.563177",,"2538.53;0.033501",,"1113.58;0.193367","2143.81;0.104021",,,,,,,,,,,,"626.622;0.015825","348.746;0.048501","236.121;0.135313","435.434;0.082648","1643.1;0.01846","725.124;0.083479","2139.53;0.023798","722.23;0.197669","6369.91;0.01429","5341.92;0.020279",,"5262.39;0.035008","10000;0.019818"
,,,,,,,,,,,,"102.038;0.096891","63.2659;0.377886","384.654;0.028662","145.67;0.223317","452.751;0.048793","414.198;0.086366","1376.55;0.020524","461.436;0.167434","1354.71;0.041124","425.533;0.456046",,"2766.51;0.029506",,"1230.7;0.163464","2429.26;0.083813",,,,,,,,,,,,"682.896;0.014978","399.951;0.040028","259.912;0.114387","486.065;0.06931","1796.04;0.017092","830.762;0.066792","2473.38;0.019897","811.061;0.161999","6838.61;0.013799","5933.33;0.018313",,"5957.11;0.029565","10000;0.019818"
,,,,,,,,,,,,"110.095;0.084655","67.6499;0.331157","420.457;0.025728","160.829;0.1856","497.374;0.042207","455.021;0.074187","1555.17;0.017754","491.933;0.150294","1497.18;0.035149","475.013;0.373379",,"3024.01;0.026432",,"1334.54;0.140976","2650.07;0.072718",,,,,,,,,,,,"736.083;0.01429","434.13;0.035931","287.822;0.096891","537.185;0.058885","2014.93;0.015667","979.794;0.051966","2682.06;0.018239","934.81;0.125536","7261.49;0.013512","6570.47;0.016803",,"6524.63;0.026512",
,,,,,,,,,,,,"120.222;0.073083","72.121;0.297851","463.285;0.022842","179.171;0.153177","543.127;0.036914","489.969;0.065535","1727.34;0.016016","529.188;0.132104","1659.61;0.030374","519.748;0.315953",,"3322.06;0.02328",,"1482.28;0.1174","2925.85;0.061288",,,,,,,,,,,,"794.206;0.013813","483.641;0.031143","318.73;0.082318","610.54;0.048501","2204.69;0.014726","1159.03;0.040552","2949.35;0.016787","1089.35;0.096601","7780.22;0.013284","7167.7;0.015667",,"7305.19;0.022773",
,,,,,,,,,,,,"129.975;0.064045","77.0416;0.262327","516.638;0.020138","186.857;0.141966","596.657;0.032285","529.717;0.057031","1893.8;0.014564","570.403;0.116581","1839.67;0.026485","572.689;0.264699",,"3642.19;0.021064",,"1596.13;0.103605","3259.54;0.050886",,,,,,,,,,,,"850.091;0.013499","573.262;0.025143","356.147;0.069033","671.385;0.041913","2366.91;0.014177","1398.76;0.031143","3256.28;0.015543","1159.03;0.086972","10000;0.0131","7788.01;0.01477",,"8555.59;0.019041",
,,,,,,,,,,,,"142.643;0.055014","82.9589;0.228741","560.788;0.018331","205.068;0.120252","658.749;0.028207","572.117;0.049829","2035.18;0.013499","617.91;0.102472","1996.88;0.023726","624.745;0.225111",,"4053.52;0.018701",,"1737.74;0.089711","3570.07;0.043886",,,,,,,,,,,,"913.554;0.013338","626.622;0.022479","402.761;0.057431","711.477;0.038497","2541.07;0.01373","1689.76;0.024449","3595.15;0.014579","1263.12;0.075083","10000;0.0131","8641.57;0.013993",,"9240.4;0.017419",
,,,,,,,,,,,,"155.453;0.048019","88.619;0.202268","620.387;0.016603","224.38;0.103398","728.759;0.024843","606.887;0.045722","2118.24;0.012995","692.524;0.083813","2200.28;0.021191","669.374;0.200857",,"4488.8;0.016837",,"1886.24;0.079487","4033.3;0.036583",,,,,,,,,,,,"1014.69;0.013192","689.76;0.020097","444.23;0.049928","788.666;0.033334","2758.22;0.013485","1971.09;0.020077","3875.15;0.014021","1346.6;0.06787",,"9323.93;0.013566",,"10000;0.015968",
,,,,,,,,,,,,"167.393;0.042546","95.1396;0.178679","673.402;0.015357","251.224;0.08508","814.311;0.021706","657.433;0.040108","2118.24;0.012995","744.969;0.075008","2429.26;0.01887","740.513;0.167937",,"4926.28;0.015434",,"2051.53;0.068689","4529.38;0.030741",,,,,,,,,,,,"10000;0.0131","783.165;0.017825","490.95;0.043536","886.555;0.028519","3066.65;0.013271","2158.87;0.018276","4185.33;0.013593","1471.94;0.059062",,"10000;0.013231",,"10000;0.015968",
,,,,,,,,,,,,"182.243;0.037472","102.344;0.157684","740.513;0.014064","278.758;0.070994","908.998;0.019213","715.759;0.035431",,"815.126;0.064173","2730.77;0.016703","786.304;0.15379",,"5363.33;0.014262",,"2182.75;0.063218","5081.39;0.026538",,,,,,,,,,,,"10000;0.0131","869.869;0.016389","570.974;0.035644","1000.58;0.024303","10000;0.0131","2371.65;0.01677","4561.2;0.013324","1564.53;0.053495",,"10000;0.013231",,,
,,,,,,,,,,,,"200.205;0.032937","110.757;0.13681","779.259;0.013364","297.182;0.06379","995.597;0.017437","760.779;0.032285",,"857.776;0.059299","2978.99;0.015311","845.851;0.135043",,"5757.97;0.013391",,"2322.36;0.056407","5649.6;0.023094",,,,,,,,,,,,,"948.937;0.015296","636.092;0.030833","1133.81;0.020668","10000;0.0131","2541.07;0.015952","10000;0.0131","1727.34;0.046367",,,,,
,,,,,,,,,,,,"216.23;0.029417","119.384;0.121218","800.585;0.012995","316.19;0.057145","1083.92;0.016032","832.425;0.028434",,"911.729;0.053388","3198.19;0.014262","916.299;0.117049",,"5951.15;0.012995",,"2495.74;0.049481","6389.05;0.020138",,,,,,,,,,,,,"1041.42;0.014477","722.952;0.026274","1239.35;0.018627",,"2774.82;0.014903","10000;0.0131","1996.88;0.037434",,,,,
,,,,,,,,,,,,"240.409;0.02578","128.939;0.106228","800.585;0.012995","342.524;0.049878","1212.38;0.014391","924.583;0.024794",,"989.642;0.046367","3409.57;0.013431","982.738;0.104961",,"5951.15;0.012995",,"2730.77;0.042974","6872.89;0.018478",,,,,,,,,,,,,"1129.28;0.01384","815.942;0.022705","1380.69;0.016972",,"3002.92;0.01429",,"2137.39;0.034315",,,,,
,,,,,,,,,,,,"263.313;0.02291","139.26;0.094122",,"373.285;0.043886","1313.35;0.013404","984.706;0.02291",,"1049.78;0.042419","3534.55;0.012995","1090.44;0.087846",,,,"2902.54;0.038768","7400.78;0.017092",,,,,,,,,,,,,"1217.24;0.013472","901.755;0.020198","1498.68;0.015841",,"3185.42;0.013854",,"2350.4;0.029802",,,,,
,,,,,,,,,,,,"284.674;0.020876","150.106;0.082236",,"405.59;0.03842","1356.06;0.012995","1092.63;0.02032",,"1122.53;0.037886","3534.55;0.012995","1174.2;0.078225",,,,"3144.28;0.034591","8138.33;0.015621",,,,,,,,,,,,,"1323.9;0.013245","1005.6;0.01813","1681.33;0.014637",,"3395.95;0.013553",,"2528.4;0.027237",,,,,
,,,,,,,,,,,,"304.705;0.01929","163.26;0.072211",,"439.371;0.034522","1356.06;0.012995","1213.59;0.018058",,"1211.17;0.033974",,"1263.12;0.069379",,,,"3426.66;0.030465","8869.2;0.014405",,,,,,,,,,,,,"10000;0.0131","1116.93;0.016703","1805.04;0.014049",,"3708.34;0.013338",,"2772.04;0.024037",,,,,
,,,,,,,,,,,,"326.145;0.017843","178.278;0.063281",,"475.013;0.030926",,"1331.87;0.016603",,"1317.3;0.029952",,"1362.86;0.06135",,,,"3704.64;0.027319","9569.54;0.013431",,,,,,,,,,,,,"10000;0.0131","1233.16;0.015403","1930.12;0.013648",,"10000;0.0131",,"3066.65;0.021128",,,,,
,,,,,,,,,,,,"352.251;0.016537","191.779;0.05579",,"509.966;0.027899",,"1439.91;0.015373",,"1442.8;0.026645",,"1479.32;0.053549",,,,"4061.63;0.024376","10000;0.012995",,,,,,,,,,,,,,"1333.2;0.014608","2037.22;0.013418",,"10000;0.0131",,"3419.81;0.018814",,,,,
,,,,,,,,,,,,"386.968;0.015159","206.509;0.049481",,"561.349;0.024695",,"1539.69;0.01442",,"1591.35;0.023467",,"1621.88;0.04586",,,,"4547.53;0.021191","10000;0.012995",,,,,,,,,,,,,,"1438.48;0.014035","2178.39;0.013245",,,,"3741.87;0.017367",,,,,
,,,,,,,,,,,,"412.544;0.014248","222.148;0.043842",,"615.443;0.022078",,"1659.61;0.013499",,"1718.73;0.021598",,"1727.34;0.04133",,,,"4941.09;0.01929",,,,,,,,,,,,,,,"1550.51;0.013539","10000;0.0131",,,,"4069.76;0.016128",,,,,
,,,,,,,,,,,,"436.306;0.013553","240.891;0.038574",,"673.402;0.019917",,"1730.8;0.012995",,"1882.47;0.019484",,"1852.59;0.037025",,,,"5363.33;0.0177",,,,,,,,,,,,,,,"1699.93;0.013245","10000;0.0131",,,,"4317.1;0.015419",,,,,
,,,,,,,,,,,,"457.759;0.012995","261.215;0.034487",,"744.969;0.017843",,"1730.8;0.012995",,"2099.26;0.017298",,"2008.89;0.032904",,,,"6004.95;0.016016",,,,,,,,,,,,,,,"10000;0.0131",,,,,"4593.24;0.014711",,,,,
,,,,,,,,,,,,"457.759;0.012995","283.821;0.030435",,"817.575;0.016242",,,,"2341.02;0.01573",,"2152.4;0.029862",,,,"6466.18;0.014859",,,,,,,,,,,,,,,"10000;0.0131",,,,,"5025.8;0.013993",,,,,
,,,,,,,,,,,,,"312.418;0.026912",,"898.155;0.014888",,,,"2548.7;0.014448",,"2322.36;0.026939",,,,"6886.65;0.014049",,,,,,,,,,,,,,,,,,,,"5433.51;0.013607",,,,,
,,,,,,,,,,,,,"340.816;0.024013",,"987.664;0.013566",,,,"2760.98;0.013526",,"2546.16;0.023893",,,,"7305.19;0.013364",,,,,,,,,,,,,,,,,,,,"5844.99;0.013284",,,,,
,,,,,,,,,,,,,"370.681;0.021555",,"1033.12;0.012995",,,,"2882.29;0.012995",,"2752.71;0.021837",,,,"7557.84;0.012995",,,,,,,,,,,,,,,,,,,,"10000;0.0131",,,,,
,,,,,,,,,,,,,"402.761;0.019562",,"1033.12;0.012995",,,,"2882.29;0.012995",,"3042.21;0.019542",,,,"7557.84;0.012995",,,,,,,,,,,,,,,,,,,,"10000;0.0131",,,,,
,,,,,,,,,,,,,"440.691;0.017718",,,,,,,,"3355.45;0.017594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"488.502;0.016032",,,,,,,,"3598.74;0.01657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"529.188;0.014755",,,,,,,,"3844.27;0.015527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"574.985;0.013662",,,,,,,,"4189.52;0.014434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"605.675;0.012995",,,,,,,,"4506.79;0.013526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"605.675;0.012995",,,,,,,,"4714.23;0.012995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
