"0.4H","0.5H","0.8H","1H","2H","3H","5H","8H","1K","2K","3K","5K","6K","8K","10K","12K","15K","20K","25K","30K","40K","50K","60K","65K","75K","80K","100K","140K","200K","LAMINA","ELO","S/C","10F","1EF","40EF","65EF","80EF","100EF","6T","8T","10T","12T","15T","20T","25T","30T","40T","50T","65T","80T","100T"
,,,"16.3347;1.8988","24.8613;2.8568","24.8613;2.8568","24.8613;2.8568","64.3845;0.2872","2.70079;13.7981","5.45438;12.9723","8.44777;15.3998","12.9624;13.7261","16.3683;24.3333","20.3758;37.8582","27.976;18.0445","32.9947;51.0522","42.7063;29.8101","55.0007;35.0174","74.0208;18.4644","87.2996;36.7393","111.09;26.7049","133.265;48.4653",,"182.974;19.3723",,"216.88;39.68","286.387;34.4272","491.118;12.0312","967.466;5.95111",,,,,,,,,,"17.6079;29.7505","24.7134;19.1412","28.6555;40.9703","37.5002;37.707","46.4022;32.0035","56.1679;44.7838","74.0208;40.3603","96.6741;44.2054","145.379;22.5976","182.974;21.7333","203.842;25.2505","275.433;27.3535","336.751;35.2282"
,,,"21.2853;0.9539","30.2741;1.4128","30.2741;1.4128","30.2741;1.4128","93.6981;0.1467","2.78899;10.9733","5.67354;9.7195","8.98992;10.3058","13.3857;10.349","16.6323;19.6062","20.6424;32.8794","28.6842;14.4811","33.393;43.0709","43.569;24.701","56.1679;27.4357","76.0466;14.5391","89.3307;28.243","113.561;20.902","135.144;40.6845",,"188.924;14.2797",,"219.937;32.7154","291.88;28.1866","523.179;8.40432","1074.25;3.71691",,,,,,,,,,"18.1623;23.3792","26.2416;14.1943","29.5282;33.2431","38.7971;30.1398","48.2476;24.9992","57.4173;39.3638","76.6574;32.3575","100.619;35.7248","152.68;17.7759","190.251;17.9546","213.437;19.9623","287.822;21.9298","353.663;27.4083"
,,,"39.573;0.2875","41.1718;0.6604","41.1718;0.6604","41.1718;0.6604","119.5771;0.0981","2.93737;8.00115","6.0189;6.86083","9.65654;6.91125","13.866;7.72969","16.9683;15.7343","20.8498;28.3846","29.4103;11.4712","33.8977;35.0525","44.5381;19.8627","57.0738;23.4494","78.7553;11.2441","91.7755;22.8019","116.786;16.7073","137.049;35.9398",,"194.288;11.4369",,"224.156;25.9935","298.671;22.7791","561.391;5.71323","1222.89;2.28535",,,,,,,,,,"18.7528;18.7998","26.9059;12.4889","30.1549;28.6985","40.9498;22.128","50.7721;19.6258","58.6945;33.0442","79.5468;25.7091","103.476;30.2001","159.867;14.5391","199.605;14.3944","225.505;15.4846","301.371;18.1895","369.202;22.1502"
,,,"57.2312;0.1456","64.3845;0.2872","64.3845;0.2872","64.3845;0.2872","180.1086;0.0496","3.12588;5.71921","6.48536;4.75759","10.4049;4.77753","14.5131;5.80965","17.4676;12.0232","21.1015;24.6517","30.185;9.37311","34.41;29.3956","45.7113;16.2297","58.6358;18.299","81.6422;8.8715","93.4424;18.6313","119.982;13.103","138.704;31.1199",,"201.612;9.05072",,"229.142;21.0699","305.62;18.6873","605.525;4.14839","1403.67;1.42737",,,,,,,,,,"19.382;15.1022","27.976;10.3485","30.9492;24.2604","42.9633;16.9598","53.5356;15.1628","60.4216;27.8504","82.6278;20.9858","105.884;26.3863","167.225;11.7734","213.437;10.9445","235.885;12.9338","314.928;14.6852","386.968;17.8471"
,,,"71.9053;0.0969","93.6981;0.1467","93.6981;0.1467","93.6981;0.1467","253.5127;0.0298","3.32305;4.20078","6.98072;3.50178","11.2228;3.54601","15.7191;3.78755","17.9815;9.51476","21.4419;21.3456","31.0732;7.6129","34.9649;23.8038","46.7749;13.0116","59.8204;15.1173","84.7195;7.00654","95.9998;14.8032","123.884;10.4944","140.519;27.2171",,"210.681;7.17673",,"234.005;17.4065","312.418;15.2083","657.204;2.99957","1674.19;0.876707",,,,,,,,,,"20.2539;11.9513","28.8568;9.1143","32.18;19.3143","44.0069;15.2388","56.1679;12.4018","62.1994;23.5199","86.2583;16.9598","110.315;21.5601","176.504;9.51476","221.04;9.46731","248.475;10.5999","332.734;11.7499","404.78;14.6412"
,,,"109.3254;0.0494","119.5771;0.0981","119.5771;0.0981","119.5771;0.0981","359.8205;0.0198","3.55469;3.13101","7.52951;2.61275","12.0801;2.71584","16.7974;2.74153","18.5106;7.81343","21.7224;18.3539","31.9556;6.51328","35.6713;19.5084","48.1031;10.7493","61.8892;11.7499","88.5304;5.55025","98.1352;12.4266","127.912;8.48113","143.071;23.8753",,"218.84;5.86407",,"238.017;15.5777","320.007;12.464","725.976;2.11735","2030.24;0.545854",,,,,,,,,,"21.1649;9.5816","30.1247;7.65871","33.393;15.7974","45.7113;12.6777","58.9887;10.2148","64.9323;18.9318","89.7785;14.025","113.902;18.299","184.998;8.01123","233.304;7.76669","260.172;8.85378","346.66;9.91298","425.959;11.7264"
,,,"154.5243;0.0296","180.1086;0.0496","180.1086;0.0496","180.1086;0.0496","425.5598;0.0169","3.80247;2.43083","8.39539;1.89316","13.1383;2.09531","18.6322;1.85009","19.1126;6.44847","22.1613;15.2083","33.1269;5.46762","36.1019;16.9767","49.3208;8.8715","63.0133;10.2353","93.7232;4.27953","99.6183;11.0104","131.281;7.19829","144.798;20.6114",,"228.227;4.85419",,"241.132;13.5021","329.753;10.39","802.776;1.54871","2495.42;0.340214",,,,,,,,,,"22.1613;7.89196","30.9492;6.89532","34.5479;13.341","46.8217;11.3798","61.8892;8.60071","66.3103;17.1302","93.3491;11.7852","118.078;15.6245","195.849;6.41631","245.511;6.47432","273.785;7.46215","366.993;8.17307","445.565;9.84383"
,,,"210.8059;0.0197","253.5127;0.0298","253.5127;0.0298","253.5127;0.0298","505.4123;0.0151","4.17433;1.83659","9.37055;1.39782","14.7253;1.51823","20.2644;1.37606","19.8131;5.3433","22.6769;12.3276","34.2726;4.53055","36.6109;15.1022","50.5694;7.35841","65.3885;8.05138","99.3199;3.32624","102.447;9.25204","137.187;5.78254","147.576;17.7049",,"242.34;3.7918",,"247.483;11.2216","337.088;8.8715","911.953;1.06722","3001.13;0.227915",,,,,,,,,,"23.3675;6.27042","32.536;5.69076","35.8501;11.2891","48.7325;9.62","66.1779;6.79946","68.8098;14.4521","97.9391;9.72641","123.019;13.0899","210.891;5.07762","260.954;5.31133","289.554;6.15241","388.131;6.69823","469.817;8.19762"
,,,"284.605;0.0151","359.8205;0.0198","359.8205;0.0198","359.8205;0.0198","603.3846;0.0138","4.6303;1.34616","10.557;1.04731","16.4186;1.14949","22.5246;1.00861","20.3961;4.53055","23.1581;10.5787","35.9938;3.65407","37.5377;12.0594","52.4755;5.95865","66.9768;6.99953","105.04;2.75892","105.672;7.91567","142.643;4.77714","149.956;15.0871",,"255.275;3.09826",,"254.511;9.30772","346.66;7.56736","1040.28;0.777347","3789.53;0.147195",,,,,,,,,,"24.7629;5.00703","33.9655;4.93742","37.1642;9.64891","50.3172;8.66112","69.7101;5.66804","71.5464;12.4515","102.447;8.28829","127.912;11.2891","222.593;4.24543","272.692;4.56694","307.459;5.1184","412.132;5.51153","499.368;6.59851"
,,,"328.6294;0.0139","425.5598;0.0169","425.5598;0.0169","425.5598;0.0169","700;0.0135","5.28188;0.982581","12.168;0.768455","18.7874;0.855868","25.011;0.769259","21.2498;3.65407","23.4846;9.25204","37.9909;2.94421","38.296;10.547","55.3317;4.57608","69.2239;5.85235","110.979;2.23634","109.875;6.30816","150.859;3.79939","152.375;13.0899",,"269.709;2.55446",,"263.05;7.64341","357.217;6.47432","1204.02;0.564433","4849.98;0.096264",,,,,,,,,,"26.3204;4.02225","35.7785;4.14475","38.296;8.54071","52.423;7.32171","74.3175;4.64059","74.3918;10.5154","107.269;6.99953","132.999;9.63926","236.593;3.56742","284.389;4.01823","329.753;4.19479","432.829;4.72488","530.778;5.41321"
