
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

7781336m777          6.556     0.8228     0.4942      7.539    0.6584     10.04
7781338m777          6.591     0.8272     0.4797      7.279    0.6456     9.796
7781339m777            6.6     0.8284     0.4763      7.217    0.6426     9.737
7781340m777          6.596     0.8278      0.478      7.247    0.6441     9.765
7781361m777          6.418     0.8056      0.554      8.632    0.7081     11.03
7781362m777          6.421     0.8059     0.5522        8.6    0.7074     11.02
7781363m777          6.425     0.8064     0.5499      8.559    0.7065        11
7781364m777          6.427     0.8067     0.5483       8.53    0.7059     10.98
7781365m777          6.456     0.8103     0.5348      8.284    0.6948     10.76
7781355m777          6.446     0.8091     0.5388      8.358    0.6983     10.83
7781366m777          6.474     0.8125     0.5276      8.149    0.6882     10.63
7781367m777          6.501     0.8159     0.5165      7.945    0.6783     10.43
7781369m777          5.928     0.7441     0.5328      8.987    0.7004     11.81
7781370m777          5.928     0.7441     0.5328      8.987    0.7004     11.81
7781371m777          5.908     0.7416     0.5347      9.051     0.702     11.88
