
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

4561m573               Nan        Nan        Nan          0       Nan         0
4455m573               Nan        Nan        Nan          0       Nan         0
18333m573              Nan        Nan        Nan          0       Nan         0
4459m573               Nan        Nan        Nan          0       Nan         0
4475m573               Nan        Nan        Nan          0       Nan         0
28955m573              Nan        Nan        Nan          0       Nan         0
28976m573              Nan        Nan        Nan          0       Nan         0
28990m573              Nan        Nan        Nan          0       Nan         0
29004m573              Nan        Nan        Nan          0       Nan         0
18336m573              Nan        Nan        Nan          0       Nan         0
28908m573              Nan        Nan        Nan          0       Nan         0
28923m573              Nan        Nan        Nan          0       Nan         0
28935m573              Nan        Nan        Nan          0       Nan         0
28809m573              Nan        Nan        Nan          0       Nan         0
28920m573              Nan        Nan        Nan          0       Nan         0
28818m573              Nan        Nan        Nan          0       Nan         0
28838m573              Nan        Nan        Nan          0       Nan         0
28848m573              Nan        Nan        Nan          0       Nan         0
28858m573              Nan        Nan        Nan          0       Nan         0
28872m573              Nan        Nan        Nan          0       Nan         0
28869m573              Nan        Nan        Nan          0       Nan         0
28859m573              Nan        Nan        Nan          0       Nan         0
28845m573              Nan        Nan        Nan          0       Nan         0
28841m573              Nan        Nan        Nan          0       Nan         0
28846m573              Nan        Nan        Nan          0       Nan         0
28860m573              Nan        Nan        Nan          0       Nan         0
28870m573              Nan        Nan        Nan          0       Nan         0
28750m573              Nan        Nan        Nan          0       Nan         0
28776m573              Nan        Nan        Nan          0       Nan         0
23572m573              Nan        Nan        Nan          0       Nan         0
23547m573              Nan        Nan        Nan          0       Nan         0
23556m573              Nan        Nan        Nan          0       Nan         0
23434m573              Nan        Nan        Nan          0       Nan         0
23438m573              Nan        Nan        Nan          0       Nan         0
18532m573              Nan        Nan        Nan          0       Nan         0
30102m573              Nan        Nan        Nan          0       Nan         0
30013m573              Nan        Nan        Nan          0       Nan         0
29959m573              Nan        Nan        Nan          0       Nan         0
29490m573              Nan        Nan        Nan          0       Nan         0
29516m573              Nan        Nan        Nan          0       Nan         0
29491m573              Nan        Nan        Nan          0       Nan         0
29419m573              Nan        Nan        Nan          0       Nan         0
29440m573              Nan        Nan        Nan          0       Nan         0
29456m573              Nan        Nan        Nan          0       Nan         0
23316m573              Nan        Nan        Nan          0       Nan         0
23127m573              Nan        Nan        Nan          0       Nan         0
23155m573              Nan        Nan        Nan          0       Nan         0
29598m573              Nan        Nan        Nan          0       Nan         0
29573m573              Nan        Nan        Nan          0       Nan         0
30534m573              Nan        Nan        Nan          0       Nan         0
29732m573              Nan        Nan        Nan          0       Nan         0
29457m573              Nan        Nan        Nan          0       Nan         0
29451m573              Nan        Nan        Nan          0       Nan         0
29291m573              Nan        Nan        Nan          0       Nan         0
29296m573              Nan        Nan        Nan          0       Nan         0
29304m573              Nan        Nan        Nan          0       Nan         0
29310m573              Nan        Nan        Nan          0       Nan         0
29035m573              Nan        Nan        Nan          0       Nan         0
18337m573              Nan        Nan        Nan          0       Nan         0
29541m573              Nan        Nan        Nan          0       Nan         0
29459m573              Nan        Nan        Nan          0       Nan         0
18338m573              Nan        Nan        Nan          0       Nan         0
211934m573             Nan        Nan        Nan          0       Nan         0
28989m573              Nan        Nan        Nan          0       Nan         0
22907m573              Nan        Nan        Nan          0       Nan         0
22953m573              Nan        Nan        Nan          0       Nan         0
22875m573              Nan        Nan        Nan          0       Nan         0
22780m573              Nan        Nan        Nan          0       Nan         0
22692m573              Nan        Nan        Nan          0       Nan         0
22812m573              Nan        Nan        Nan          0       Nan         0
22805m573              Nan        Nan        Nan          0       Nan         0
22797m573              Nan        Nan        Nan          0       Nan         0
22788m573              Nan        Nan        Nan          0       Nan         0
22772m573              Nan        Nan        Nan          0       Nan         0
22885m573              Nan        Nan        Nan          0       Nan         0
22886m573              Nan        Nan        Nan          0       Nan         0
22873m573              Nan        Nan        Nan          0       Nan         0
22825m573              Nan        Nan        Nan          0       Nan         0
22929m573              Nan        Nan        Nan          0       Nan         0
22838m573              Nan        Nan        Nan          0       Nan         0
