
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

12959319m929             0          0          0          0         0         0
12959305m929             0          0          0          0         0         0
12959308m929             0          0          0          0         0         0
12959320m929             0          0          0          0         0         0
12959321m929             0          0          0          0         0         0
12959322m929             0          0          0          0         0         0
12959323m929             0          0          0          0         0         0
12959324m929             0          0          0          0         0         0
12959325m929             0          0          0          0         0         0
12959309m929             0          0          0          0         0         0
12959326m929             0          0          0          0         0         0
12959327m929             0          0          0          0         0         0
12959328m929             0          0          0          0         0         0
12959329m929             0          0          0          0         0         0
12959330m929             0          0          0          0         0         0
12959331m929             0          0          0          0         0         0
12959332m929             0          0          0          0         0         0
12959333m929             0          0          0          0         0         0
12959310m929             0          0          0          0         0         0
12959311m929             0          0          0          0         0         0
12959334m929             0          0          0          0         0         0
12959335m929             0          0          0          0         0         0
12959312m929             0          0          0          0         0         0
12959336m929             0          0          0          0         0         0
12959313m929             0          0          0          0         0         0
12959337m929             0          0          0          0         0         0
104902310m929            0          0          0          0         0         0
104902309m929            0          0          0          0         0         0
104902312m929            0          0          0          0         0         0
104902311m929            0          0          0          0         0         0
8918432m929              0          0          0          0         0         0
8918433m929              0          0          0          0         0         0
12973073m929             0          0          0          0         0         0
8918169m929              0          0          0          0         0         0
13001322m929             0          0          0          0         0         0
13001323m929             0          0          0          0         0         0
8918168m929              0          0          0          0         0         0
13029525m929             0          0          0          0         0         0
12973072m929             0          0          0          0         0         0
13037231m929             0          0          0          0         0         0
13037236m929             0          0          0          0         0         0
13037232m929             0          0          0          0         0         0
13037233m929             0          0          0          0         0         0
8917940m929              0          0          0          0         0         0
9663736m929              0          0          0          0         0         0
8917939m929              0          0          0          0         0         0
9663720m929              0          0          0          0         0         0
8917938m929              0          0          0          0         0         0
13037237m929             0          0          0          0         0         0
13174184m929             0          0          0          0         0         0
8918013m929              0          0          0          0         0         0
8918529m929              0          0          0          0         0         0
13478525m929             0          0          0          0         0         0
8918107m929              0          0          0          0         0         0
13478551m929             0          0          0          0         0         0
13478622m929             0          0          0          0         0         0
13489772m929             0          0          0          0         0         0
8918152m929              0          0          0          0         0         0
13489801m929             0          0          0          0         0         0
8918151m929              0          0          0          0         0         0
8918040m929              0          0          0          0         0         0
8918041m929              0          0          0          0         0         0
8918042m929              0          0          0          0         0         0
8918047m929              0          0          0          0         0         0
8918048m929              0          0          0          0         0         0
3674343m929              0          0          0          0         0         0
8917719m929              0          0          0          0         0         0
8918252m929              0          0          0          0         0         0
8918004m929              0          0          0          0         0         0
8918005m929              0          0          0          0         0         0
8918006m929              0          0          0          0         0         0
8918007m929              0          0          0          0         0         0
8918008m929              0          0          0          0         0         0
8918556m929              0          0          0          0         0         0
8918014m929              0          0          0          0         0         0
8918015m929              0          0          0          0         0         0
8917941m929              0          0          0          0         0         0
8918555m929              0          0          0          0         0         0
8917942m929              0          0          0          0         0         0
8917943m929              0          0          0          0         0         0
8917944m929              0          0          0          0         0         0
8917945m929              0          0          0          0         0         0
8917946m929              0          0          0          0         0         0
8917947m929              0          0          0          0         0         0
8917948m929              0          0          0          0         0         0
8917949m929              0          0          0          0         0         0
104388178m929            0          0          0          0         0         0
8917969m929              0          0          0          0         0         0
8917970m929              0          0          0          0         0         0
8917971m929              0          0          0          0         0         0
8917972m929              0          0          0          0         0         0
8917973m929              0          0          0          0         0         0
8917974m929              0          0          0          0         0         0
8917975m929              0          0          0          0         0         0
8917976m929              0          0          0          0         0         0
8917977m929              0          0          0          0         0         0
8917978m929              0          0          0          0         0         0
8918519m929              0          0          0          0         0         0
8917982m929              0          0          0          0         0         0
8917983m929              0          0          0          0         0         0
8917984m929              0          0          0          0         0         0
8917985m929              0          0          0          0         0         0
104534677m929            0          0          0          0         0         0
8917987m929              0          0          0          0         0         0
8917992m929              0          0          0          0         0         0
8917993m929              0          0          0          0         0         0
8917996m929              0          0          0          0         0         0
8917997m929              0          0          0          0         0         0
8917998m929              0          0          0          0         0         0
8917999m929              0          0          0          0         0         0
8918000m929              0          0          0          0         0         0
8918001m929              0          0          0          0         0         0
8918002m929              0          0          0          0         0         0
8918003m929              0          0          0          0         0         0
8918112m929              0          0          0          0         0         0
8918113m929              0          0          0          0         0         0
8918114m929              0          0          0          0         0         0
8918115m929              0          0          0          0         0         0
8918116m929              0          0          0          0         0         0
8917714m929              0          0          0          0         0         0
8918117m929              0          0          0          0         0         0
8918147m929              0          0          0          0         0         0
8918118m929              0          0          0          0         0         0
8918120m929              0          0          0          0         0         0
8918121m929              0          0          0          0         0         0
8918122m929              0          0          0          0         0         0
8918123m929              0          0          0          0         0         0
8918552m929              0          0          0          0         0         0
8918148m929              0          0          0          0         0         0
8918149m929              0          0          0          0         0         0
8918150m929              0          0          0          0         0         0
8918153m929              0          0          0          0         0         0
8918154m929              0          0          0          0         0         0
8918155m929              0          0          0          0         0         0
8918156m929              0          0          0          0         0         0
8918159m929              0          0          0          0         0         0
8918161m929              0          0          0          0         0         0
8918162m929              0          0          0          0         0         0
8918546m929              0          0          0          0         0         0
8918163m929              0          0          0          0         0         0
8918164m929              0          0          0          0         0         0
8918165m929              0          0          0          0         0         0
8918166m929              0          0          0          0         0         0
8918167m929              0          0          0          0         0         0
8917912m929              0          0          0          0         0         0
8918188m929              0          0          0          0         0         0
8918285m929              0          0          0          0         0         0
8918191m929              0          0          0          0         0         0
8918503m929              0          0          0          0         0         0
8918192m929              0          0          0          0         0         0
8918193m929              0          0          0          0         0         0
8918194m929              0          0          0          0         0         0
8918195m929              0          0          0          0         0         0
8918196m929              0          0          0          0         0         0
8918197m929              0          0          0          0         0         0
8918198m929              0          0          0          0         0         0
8918199m929              0          0          0          0         0         0
8918200m929              0          0          0          0         0         0
8918201m929              0          0          0          0         0         0
8918202m929              0          0          0          0         0         0
8918203m929              0          0          0          0         0         0
8918204m929              0          0          0          0         0         0
8918205m929              0          0          0          0         0         0
8918206m929              0          0          0          0         0         0
8918207m929              0          0          0          0         0         0
8918208m929              0          0          0          0         0         0
8918209m929              0          0          0          0         0         0
8918210m929              0          0          0          0         0         0
8918211m929              0          0          0          0         0         0
8918212m929              0          0          0          0         0         0
8918213m929              0          0          0          0         0         0
8918214m929              0          0          0          0         0         0
8918215m929              0          0          0          0         0         0
8918053m929              0          0          0          0         0         0
8918054m929              0          0          0          0         0         0
8918530m929              0          0          0          0         0         0
8918394m929              0          0          0          0         0         0
8918080m929              0          0          0          0         0         0
8918083m929              0          0          0          0         0         0
8918084m929              0          0          0          0         0         0
8918085m929              0          0          0          0         0         0
8918088m929              0          0          0          0         0         0
8918550m929              0          0          0          0         0         0
8918286m929              0          0          0          0         0         0
8918287m929              0          0          0          0         0         0
8918288m929              0          0          0          0         0         0
8918289m929              0          0          0          0         0         0
8918290m929              0          0          0          0         0         0
8918291m929              0          0          0          0         0         0
8918292m929              0          0          0          0         0         0
8918293m929              0          0          0          0         0         0
8918549m929              0          0          0          0         0         0
8918172m929              0          0          0          0         0         0
8918173m929              0          0          0          0         0         0
8918174m929              0          0          0          0         0         0
8918175m929              0          0          0          0         0         0
8918176m929              0          0          0          0         0         0
8918177m929              0          0          0          0         0         0
8918178m929              0          0          0          0         0         0
8918179m929              0          0          0          0         0         0
8918180m929              0          0          0          0         0         0
8918181m929              0          0          0          0         0         0
8918565m929              0          0          0          0         0         0
8918183m929              0          0          0          0         0         0
8918184m929              0          0          0          0         0         0
8918185m929              0          0          0          0         0         0
8918186m929              0          0          0          0         0         0
8918187m929              0          0          0          0         0         0
8918548m929              0          0          0          0         0         0
8918258m929              0          0          0          0         0         0
8918259m929              0          0          0          0         0         0
8918260m929              0          0          0          0         0         0
8918261m929              0          0          0          0         0         0
8918262m929              0          0          0          0         0         0
8918263m929              0          0          0          0         0         0
8918264m929              0          0          0          0         0         0
8918265m929              0          0          0          0         0         0
8918266m929              0          0          0          0         0         0
8918267m929              0          0          0          0         0         0
8918268m929              0          0          0          0         0         0
8918269m929              0          0          0          0         0         0
8918270m929              0          0          0          0         0         0
8918271m929              0          0          0          0         0         0
8918272m929              0          0          0          0         0         0
8918273m929              0          0          0          0         0         0
8918274m929              0          0          0          0         0         0
8918275m929              0          0          0          0         0         0
8918276m929              0          0          0          0         0         0
8918278m929              0          0          0          0         0         0
8918279m929              0          0          0          0         0         0
8918505m929              0          0          0          0         0         0
8918281m929              0          0          0          0         0         0
8918282m929              0          0          0          0         0         0
8918506m929              0          0          0          0         0         0
8918283m929              0          0          0          0         0         0
8918284m929              0          0          0          0         0         0
8918553m929              0          0          0          0         0         0
8918395m929              0          0          0          0         0         0
8918396m929              0          0          0          0         0         0
8918397m929              0          0          0          0         0         0
8918398m929              0          0          0          0         0         0
8918399m929              0          0          0          0         0         0
8918435m929              0          0          0          0         0         0
8918436m929              0          0          0          0         0         0
8918528m929              0          0          0          0         0         0
8918438m929              0          0          0          0         0         0
8918439m929              0          0          0          0         0         0
8918440m929              0          0          0          0         0         0
8918527m929              0          0          0          0         0         0
8918441m929              0          0          0          0         0         0
8918251m929              0          0          0          0         0         0
8918590m929              0          0          0          0         0         0
8917715m929              0          0          0          0         0         0
8917716m929              0          0          0          0         0         0
8917717m929              0          0          0          0         0         0
8917718m929              0          0          0          0         0         0
8918507m929              0          0          0          0         0         0
8918523m929              0          0          0          0         0         0
8918526m929              0          0          0          0         0         0
8918182m929              0          0          0          0         0         0
8918582m929              0          0          0          0         0         0
8918584m929              0          0          0          0         0         0
8918243m929              0          0          0          0         0         0
8917907m929              0          0          0          0         0         0
8918517m929              0          0          0          0         0         0
8918587m929              0          0          0          0         0         0
8918522m929              0          0          0          0         0         0
8918521m929              0          0          0          0         0         0
8918588m929              0          0          0          0         0         0
8918525m929              0          0          0          0         0         0
8918592m929              0          0          0          0         0         0
8918224m929              0          0          0          0         0         0
8918225m929              0          0          0          0         0         0
8918226m929              0          0          0          0         0         0
8918227m929              0          0          0          0         0         0
8918228m929              0          0          0          0         0         0
8918228m929s             0          0          0          0         0         0
8918229m929              0          0          0          0         0         0
8918230m929              0          0          0          0         0         0
8918231m929              0          0          0          0         0         0
8918232m929              0          0          0          0         0         0
8918233m929              0          0          0          0         0         0
8918234m929              0          0          0          0         0         0
8918235m929              0          0          0          0         0         0
8918236m929              0          0          0          0         0         0
8918237m929              0          0          0          0         0         0
8918238m929              0          0          0          0         0         0
8918239m929              0          0          0          0         0         0
8918240m929              0          0          0          0         0         0
8918241m929              0          0          0          0         0         0
8918250m929              0          0          0          0         0         0
8918509m929              0          0          0          0         0         0
8918244m929              0          0          0          0         0         0
8918246m929              0          0          0          0         0         0
8918247m929              0          0          0          0         0         0
8918248m929              0          0          0          0         0         0
8918249m929              0          0          0          0         0         0
8918253m929              0          0          0          0         0         0
8918254m929              0          0          0          0         0         0
8918255m929              0          0          0          0         0         0
8918256m929              0          0          0          0         0         0
8918257m929              0          0          0          0         0         0
8917908m929              0          0          0          0         0         0
8917911m929              0          0          0          0         0         0
8918510m929              0          0          0          0         0         0
8918216m929              0          0          0          0         0         0
8918217m929              0          0          0          0         0         0
8918218m929              0          0          0          0         0         0
8918219m929              0          0          0          0         0         0
8918220m929              0          0          0          0         0         0
8918221m929              0          0          0          0         0         0
8918222m929              0          0          0          0         0         0
8918223m929              0          0          0          0         0         0
8918189m929              0          0          0          0         0         0
8918416m929              0          0          0          0         0         0
8918417m929              0          0          0          0         0         0
8918418m929              0          0          0          0         0         0
8918419m929              0          0          0          0         0         0
8918420m929              0          0          0          0         0         0
8918421m929              0          0          0          0         0         0
8918426m929              0          0          0          0         0         0
8918427m929              0          0          0          0         0         0
8918102m929              0          0          0          0         0         0
8918055m929              0          0          0          0         0         0
104355691m929            0          0          0          0         0         0
104368704m929            0          0          0          0         0         0
104368705m929            0          0          0          0         0         0
104368706m929            0          0          0          0         0         0
8918447m929              0          0          0          0         0         0
8918445m929              0          0          0          0         0         0
8918446m929              0          0          0          0         0         0
8918450m929              0          0          0          0         0         0
104781502m929            0          0          0          0         0         0
104902313m929            0          0          0          0         0         0
8918434m929              0          0          0          0         0         0
8918429m929              0          0          0          0         0         0
8918430m929              0          0          0          0         0         0
8918428m929              0          0          0          0         0         0
8918047bg15792           0          0          0          0         0         0
8918430bh66329           0          0          0          0         0         0
12750964bn06894          0          0          0          0         0         0
12751000bn06891          0          0          0          0         0         0
8918068bw78396           0          0          0          0         0         0
12910794bh33364          0          0          0          0         0         0
12626675bw65460          0          0          0          0         0         0
8917928bw85220           0          0          0          0         0         0
8917933bw51742           0          0          0          0         0         0
12750976bn06893          0          0          0          0         0         0
104388382bw72625         0          0          0          0         0         0
104033142bw83955         0          0          0          0         0         0
12907975bn41954          0          0          0          0         0         0
8918419bh79065           0          0          0          0         0         0
8918061bh33374           0          0          0          0         0         0
13001323bn03171          0          0          0          0         0         0
8918155bw71731           0          0          0          0         0         0
13174184bn46245          0          0          0          0         0         0
12959320bn10742          0          0          0          0         0         0
8918565bh33385           0          0          0          0         0         0
13478624bg08688          0          0          0          0         0         0
12840287bh56246          0          0          0          0         0         0
8918522bh33373           0          0          0          0         0         0
8918590bh33380           0          0          0          0         0         0
13001322bn56123          0          0          0          0         0         0
8918592bh33390           0          0          0          0         0         0
8918530bh33392           0          0          0          0         0         0
12973072bn40488          0          0          0          0         0         0
8918529bh33391           0          0          0          0         0         0
104781502bh66328         0          0          0          0         0         0
12959302bn10743          0          0          0          0         0         0
8918525bh33376           0          0          0          0         0         0
12522149bh33363          0          0          0          0         0         0
8918548bh33387           0          0          0          0         0         0
104368706bh53164         0          0          0          0         0         0
8918510bh33359           0          0          0          0         0         0
8918428bh40878           0          0          0          0         0         0
8918549bh33388           0          0          0          0         0         0
8917912bh33362           0          0          0          0         0         0
8918552bh33381           0          0          0          0         0         0
13478554bg03712          0          0          0          0         0         0
8918550bh33378           0          0          0          0         0         0
8918519bh33370           0          0          0          0         0         0
13478756bg03714          0          0          0          0         0         0
12763961bn18612          0          0          0          0         0         0
12750990bn06892          0          0          0          0         0         0
8918446bh33384           0          0          0          0         0         0
13489772bn88326          0          0          0          0         0         0
8918555bh33365           0          0          0          0         0         0
8918527bh33383           0          0          0          0         0         0
8918015bh33394           0          0          0          0         0         0
8918108bw80111           0          0          0          0         0         0
8918520bh33371           0          0          0          0         0         0
8918509bh33358           0          0          0          0         0         0
8918553bh33354           0          0          0          0         0         0
8918584bh33356           0          0          0          0         0         0
12820338bc02138          0          0          0          0         0         0
8917714bh33379           0          0          0          0         0         0
8918582bh33353           0          0          0          0         0         0
8918587bh33368           0          0          0          0         0         0
8918588bh33372           0          0          0          0         0         0
