fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013057,10000.0,0.013057
10000.0,0.013057,10000.0,0.01
500.369,0.013057,174.63,0.01
408.786,0.013801,174.63,0.01
334.311,0.015565,174.63,0.01
278.844,0.017963,164.169,0.011264
237.206,0.021081,148.16,0.013851
200.742,0.025769,127.692,0.018382
170.06,0.0322,112.028,0.023791
144.217,0.039776,96.5514,0.031905
121.795,0.050172,84.3533,0.041901
103.823,0.063352,72.7761,0.056014
87.0473,0.082372,63.2498,0.073718
74.6658,0.105435,56.1336,0.093243
66.4119,0.12902,48.888,0.125172
58.765,0.157551,42.0901,0.167159
50.6683,0.204423,35.1905,0.23841
44.051,0.261385,29.9503,0.329889
37.746,0.342714,25.8397,0.438709
32.0099,0.45455,22.3634,0.585869
27.8583,0.600991,19.889,0.76223
25.011,0.769259,17.9307,0.986516
22.5246,1.00861,16.3012,1.31331
20.2644,1.37606,15.0701,1.71043
18.6322,1.85009,14.0492,2.23696
16.7974,2.74153,13.1661,2.91948
15.7191,3.78755,12.4816,3.83018
14.5131,5.80965,11.7955,5.08833
13.866,7.72969,11.3235,6.64082
13.3857,10.349,10.9161,8.80382
12.9624,13.7261,10.4684,11.8927
12.6701,18.2434,10.1553,15.9818
12.3972,24.5023,9.92408,20.9235
12.1807,34.5305,9.77968,27.5653
12.0176,46.4255,9.5971,38.2219
11.906,62.68,9.51705,51.525
11.8567,85.7839,9.46736,67.1053
11.8322,115.939,9.44756,91.4108
11.8077,168.422,9.41793,122.456
11.8199,224.319,9.41793,166.81
11.869,298.767,9.46736,227.228
,,9.46736,295.629
