fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1000.0,0.0133,1000.0,0.0133
1000.0,0.0133,1000.0,0.01
700.0,0.0135,170.2004,0.01
407.3332,0.0136,170.2004,0.01
328.6294,0.0139,170.2004,0.01
284.605,0.0151,99.4138,0.0296
210.8059,0.0197,60.0949,0.079
154.5243,0.0296,44.0798,0.1457
109.3254,0.0494,31.0475,0.2898
71.9053,0.0969,20.4175,0.6669
57.2312,0.1456,17.3417,0.9659
39.573,0.2875,13.5533,1.9006
21.2853,0.9539,11.031,3.8314
16.3347,1.8988,9.9207,5.739
14.4896,2.8628,8.9594,7.7561
12.733,4.7964,8.0912,9.6481
10.1345,8.6368,6.4902,14.5583
7.6967,14.38,5.5875,19.3272
6.7075,19.246,4.6967,29.3166
5.7009,29.1076,3.7713,58.7273
4.8203,48.514,3.3882,100.7188
4.1658,87.815,3.0919,199.864
3.8446,145.2957,2.9907,300.0
3.515,300.0,,
