fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013057,10000.0,0.013057
10000.0,0.013057,10000.0,0.01
237.452,0.013057,91.2441,0.01
184.001,0.014019,91.2441,0.01
155.071,0.01563,91.2441,0.01
135.801,0.017426,80.051,0.012715
117.455,0.020666,69.7912,0.016698
101.166,0.024739,61.8095,0.021165
86.777,0.029833,54.1138,0.027194
71.6329,0.03767,48.1262,0.03436
56.7886,0.052645,42.046,0.044564
47.514,0.068022,37.0818,0.057137
40.7135,0.087068,32.4309,0.074492
33.853,0.117306,28.5719,0.09631
29.2796,0.148898,25.4371,0.119675
25.324,0.19239,22.3167,0.154567
21.2762,0.266074,19.8266,0.196528
18.8069,0.335269,17.4857,0.250926
16.4527,0.435469,15.2606,0.328171
14.304,0.568581,13.3047,0.43099
12.168,0.768455,11.5269,0.570772
10.557,1.04731,10.23,0.713698
9.37055,1.39782,8.8445,0.950119
8.39539,1.89316,7.7271,1.24519
7.52951,2.61275,6.83622,1.7033
6.98072,3.50178,6.25413,2.16797
6.48536,4.75759,5.76368,2.78546
6.0189,6.86083,5.33957,3.77854
5.67354,9.7195,5.00397,4.99358
5.45438,12.9723,4.70915,6.5787
5.26002,17.7168,4.50184,8.55906
5.09367,25.1514,4.27671,11.6469
4.9685,33.6744,4.09272,15.6515
4.88676,44.7099,3.98698,21.055
4.83135,61.1901,3.88398,28.5615
4.76668,81.9254,3.77968,40.6509
4.75681,121.273,3.75994,53.4988
4.75681,175.619,3.71689,71.5937
4.76668,233.659,3.70523,92.8539
4.78649,300.963,3.69361,128.885
,,3.70135,173.019
,,3.75208,229.134
,,3.77968,299.357
