fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013057,10000.0,0.013057
10000.0,0.013057,10000.0,0.01
118.065,0.013057,41.3475,0.01
94.1831,0.013615,41.3475,0.01
74.9761,0.015419,41.3475,0.01
60.0584,0.018362,37.5899,0.012043
47.6621,0.023162,33.0825,0.015538
39.5077,0.029554,29.5454,0.019408
34.0289,0.035863,25.9753,0.024548
28.8876,0.045001,22.7651,0.032139
24.0698,0.059499,19.9306,0.041509
20.2015,0.079411,17.6143,0.052998
17.5814,0.100377,15.1333,0.071969
15.2536,0.127811,13.3047,0.093438
13.1246,0.164971,11.7585,0.118556
10.7002,0.24293,10.3919,0.15153
8.99924,0.338086,9.16501,0.195504
7.77542,0.447006,8.09987,0.250926
6.80918,0.584867,7.05436,0.326462
6.01267,0.751759,6.15023,0.424735
5.28188,0.982581,5.37885,0.555484
4.6303,1.34616,4.75373,0.704811
4.17433,1.83659,4.1575,0.920815
3.80247,2.43083,3.72468,1.1955
3.55469,3.13101,3.37203,1.55863
3.32305,4.20078,3.09785,2.06845
3.12588,5.71921,2.8639,2.65205
2.93737,8.00115,2.65595,3.52321
2.78899,10.9733,2.49424,4.62224
2.70079,13.7981,2.37198,6.14698
2.61266,18.0347,2.26282,8.06447
2.5564,23.4492,2.17456,10.4156
2.48841,31.1989,2.09412,13.679
2.44241,41.121,2.02724,18.2483
2.40971,55.9847,1.97901,24.3441
2.37746,75.3491,1.938,32.8513
2.36027,101.517,1.89586,46.4643
2.3505,137.491,1.87415,65.9934
2.33835,189.95,1.85463,94.0248
2.35294,297.831,1.84108,128.482
,,1.84494,167.683
,,1.84494,222.067
,,1.84494,298.733
