fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.015968,10000.0,0.015968
10000.0,0.015968,10000.0,0.01
9240.4,0.017419,6676.44,0.01
8555.59,0.019041,6676.44,0.01
7305.19,0.022773,6676.44,0.01
6524.63,0.026512,6472.65,0.010704
5957.11,0.029565,5856.69,0.013113
5262.39,0.035008,5368.7,0.015621
4648.69,0.041413,4852.94,0.018927
4240.09,0.04688,4312.79,0.024037
3704.64,0.056576,3848.12,0.030496
3315.42,0.066792,3423.23,0.038382
2984.96,0.078932,3122.35,0.045952
2687.43,0.093092,2717.15,0.061105
2366.91,0.114961,2317.72,0.084233
2111.89,0.140554,1988.91,0.113589
1850.74,0.178858,1718.73,0.152108
1662.94,0.220653,1495.68,0.201058
1501.68,0.268699,1297.69,0.268431
1338.55,0.338523,1120.29,0.359097
1202.72,0.424789,967.14,0.477514
1068.85,0.549272,871.611,0.587334
941.376,0.726032,800.585,0.692698
829.931,0.97029,714.329,0.87445
734.612,1.28125,656.12,1.03856
654.154,1.6885,617.293,1.17567
574.41,2.2453,557.991,1.44895
518.191,2.90328,522.875,1.6717
481.71,3.49678,490.95,1.95197
459.594,3.98621,462.36,2.25205
432.829,4.72488,438.493,2.55191
412.132,5.51153,416.274,2.93833
388.131,6.69823,396.368,3.35967
366.993,8.17307,379.306,3.79939
346.66,9.91298,359.007,4.48995
332.734,11.7499,343.897,5.12353
314.928,14.6852,328.108,5.89346
301.371,18.1895,313.984,6.84038
287.822,21.9298,299.269,8.04334
275.433,27.3535,279.316,10.266
265.163,34.1529,268.364,12.2172
256.555,42.3872,258.616,14.0812
247.483,53.0295,248.973,16.9428
239.21,67.5487,241.373,19.5866
230.291,88.93,227.544,25.8121
223.485,115.336,213.651,35.8322
218.185,144.293,201.813,49.5433
212.373,184.537,192.74,67.6163
206.302,245.636,184.075,91.73
202.622,296.146,175.624,129.004
,,170.093,162.203
,,166.391,189.019
,,161.474,241.737
,,156.545,303.946
