fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
7557.84,0.012995,7557.84,0.012995
7557.84,0.012995,7557.84,0.01
7305.19,0.013364,3886.8,0.01
6886.65,0.014049,3886.8,0.01
6466.18,0.014859,3886.8,0.01
6004.95,0.016016,3682.47,0.011196
5363.33,0.0177,3426.66,0.012776
4941.09,0.01929,3153.73,0.015113
4547.53,0.021191,2888.06,0.01804
4061.63,0.024376,2623.7,0.021902
3704.64,0.027319,2369.28,0.027047
3426.66,0.030465,2180.57,0.031963
3144.28,0.034591,1975.03,0.039314
2902.54,0.038768,1825.01,0.046044
2730.77,0.042974,1644.74,0.057317
2495.74,0.049481,1507.7,0.068142
2322.36,0.056407,1358.78,0.084233
2182.75,0.063218,1261.86,0.09767
2051.53,0.068689,1129.28,0.121218
1886.24,0.079487,1023.86,0.147908
1737.74,0.089711,926.434,0.181924
1596.13,0.103605,867.264,0.208636
1482.28,0.1174,776.148,0.260497
1334.54,0.140976,712.901,0.303261
1230.7,0.163464,639.92,0.37525
1113.58,0.193367,594.87,0.437726
1025.91,0.223764,531.309,0.546533
937.618,0.262065,496.877,0.626779
830.762,0.32525,453.204,0.75945
755.472,0.388617,417.524,0.919284
680.851,0.475608,394.391,1.04481
611.15,0.57859,372.167,1.18867
562.473,0.674246,351.547,1.39353
514.062,0.823526,336.078,1.57277
477.872,0.968352,323.547,1.74689
447.798,1.1375,313.984,1.9095
415.027,1.40753,301.371,2.13793
391.249,1.6501,290.424,2.4081
372.912,1.90759,281.841,2.707
359.367,2.16374,269.439,3.16401
342.867,2.50638,258.616,3.63221
328.765,2.90618,249.471,4.14475
321.29,3.21504,243.068,4.75332
308.692,3.74283,234.474,5.48404
295.995,4.39225,227.771,6.33344
288.398,4.9473,219.718,7.46215
277.645,5.79412,210.891,9.23356
270.249,6.72508,204.454,11.5865
263.05,7.64341,198.015,14.7588
254.511,9.30772,193.9,17.337
247.483,11.2216,189.302,22.2389
241.132,13.5021,186.111,25.7348
238.017,15.5777,182.243,32.9452
234.005,17.4065,178.813,42.9848
229.142,21.0699,173.355,64.7704
224.156,25.9935,169.923,94.2405
219.937,32.7154,168.4,123.328
216.88,39.68,166.724,148.094
213.651,47.3633,165.893,196.93
210.47,59.4329,165.231,246.374
207.336,76.2372,164.736,296.738
205.479,93.0233,,
203.842,119.923,,
202.825,143.574,,
201.612,181.426,,
200.405,219.829,,
200.005,267.161,,
199.008,299.122,,
