fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
1699.93,0.013245,717.192,0.01
1550.51,0.013539,717.192,0.01
1438.48,0.014035,717.192,0.01
1333.2,0.014608,691.14,0.010822
1233.16,0.015403,646.998,0.012337
1116.93,0.016703,582.508,0.015144
1005.6,0.01813,522.353,0.018795
901.755,0.020198,470.287,0.02328
815.942,0.022705,408.848,0.030679
722.952,0.026274,344.931,0.043103
636.092,0.030833,285.815,0.062401
570.974,0.035644,244.776,0.08474
490.95,0.043536,203.434,0.122804
444.23,0.049928,175.273,0.165272
402.761,0.057431,148.613,0.229199
356.147,0.069033,125.882,0.317536
318.73,0.082318,103.995,0.463401
287.822,0.096891,86.5174,0.669542
259.912,0.114387,73.431,0.922046
236.121,0.135313,64.6085,1.18748
209.63,0.167267,60.1804,1.36457
189.681,0.199655,56.2804,1.57434
169.923,0.245327,52.3183,1.86421
156.545,0.286172,49.4195,2.1465
141.789,0.346053,46.1707,2.54935
130.757,0.408133,44.0509,2.93539
120.946,0.475608,41.32,3.53545
110.979,0.564305,38.8359,4.32254
100.217,0.692006,36.1019,5.49502
91.0443,0.840162,33.6612,7.1338
82.9589,1.02003,31.4798,9.10519
75.8946,1.22732,29.8847,11.4827
67.7176,1.55556,28.4556,14.5974
62.8874,1.85677,27.422,17.7937
58.9297,2.16807,26.1368,23.4729
55.6647,2.50137,25.2127,29.3956
52.897,2.88303,24.1273,40.1189
49.8663,3.44816,23.2045,55.1937
46.8685,4.13647,22.4288,76.161
44.1833,5.02207,21.7442,103.736
41.6935,6.14011,21.1438,141.153
40.1389,7.08404,20.7044,185.091
38.296,8.54071,20.2539,245.145
37.1642,9.64891,20.0123,300.621
35.8501,11.2891,,
34.5479,13.341,,
33.393,15.7974,,
32.18,19.3143,,
30.9492,24.2604,,
30.1549,28.6985,,
29.5282,33.2431,,
28.6555,40.9703,,
27.8086,51.2055,,
27.122,64.641,,
26.6382,77.2347,,
26.163,94.3347,,
25.5681,116.962,,
25.0118,148.985,,
24.492,182.336,,
24.1032,224.046,,
23.8157,264.502,,
23.626,297.035,,
