fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
800.585,0.012995,800.585,0.012995
800.585,0.012995,800.585,0.01
779.259,0.013364,419.198,0.01
740.513,0.014064,419.198,0.01
673.402,0.015357,419.198,0.01
620.387,0.016603,402.761,0.010997
560.788,0.018331,375.908,0.012763
516.638,0.020138,341.157,0.015605
463.285,0.022842,310.86,0.018739
420.457,0.025728,274.333,0.023965
384.654,0.028662,229.601,0.034076
353.309,0.032609,202.42,0.043623
319.368,0.038114,182.608,0.053281
291.297,0.044327,152.375,0.076065
259.652,0.053495,130.496,0.103502
230.291,0.064431,110.205,0.143824
206.922,0.076906,92.2356,0.20553
181.879,0.094973,80.9916,0.26576
162.445,0.114846,70.5517,0.350581
144.654,0.139434,61.3961,0.469935
123.636,0.183019,54.1277,0.611915
107.377,0.236889,50.1163,0.71809
96.192,0.290787,46.7281,0.84353
86.4309,0.356236,44.0069,0.974179
77.3504,0.437726,40.7863,1.18156
69.0856,0.538396,38.9137,1.36867
63.9656,0.638163,36.7576,1.65672
58.9297,0.768618,34.5824,2.01948
54.9457,0.910137,32.0195,2.6935
51.6426,1.07126,30.1247,3.46545
48.007,1.32556,28.7992,4.29238
45.3925,1.54626,27.3946,5.5447
42.4933,1.94223,26.1892,7.09112
39.9387,2.41293,24.9618,9.40127
37.9909,2.94421,24.0551,12.3894
35.9938,3.65407,23.2742,16.541
34.2726,4.53055,22.6089,22.7564
33.1269,5.46762,21.9847,31.4955
31.9556,6.51328,21.4633,43.1571
31.0732,7.6129,21.0594,58.7827
30.185,9.37311,20.829,76.5427
29.4103,11.4712,20.6424,101.681
28.6842,14.4811,20.4574,147.65
27.976,18.0445,20.4574,212.056
27.3672,23.2161,20.3758,275.022
26.7717,30.0495,20.335,296.146
26.2154,40.8884,,
25.6963,54.6445,,
25.4406,72.519,,
25.1371,100.068,,
24.9868,137.668,,
24.9368,191.301,,
24.8373,260.564,,
24.7134,298.524,,
