fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
7780.22,0.013284,3430.08,0.01
7261.49,0.013512,3430.08,0.01
6838.61,0.013799,3430.08,0.01
6369.91,0.01429,3322.06,0.010725
5939.26,0.014888,2943.46,0.013675
5449.83,0.015888,2543.61,0.018515
4848.09,0.017454,2135.25,0.026353
4312.79,0.019406,1710.16,0.041247
3933.72,0.021663,1408.58,0.061288
3402.75,0.026039,1164.84,0.08998
2970.07,0.031081,965.207,0.130398
2458.58,0.040189,787.09,0.196486
2082.53,0.051346,658.091,0.283041
1708.45,0.069033,545.304,0.410589
1419.9,0.093559,460.514,0.579748
1153.25,0.133565,387.356,0.820238
908.998,0.20247,329.094,1.13637
751.704,0.289627,293.93,1.43166
615.443,0.423094,266.492,1.72951
527.075,0.575129,244.531,2.06027
442.457,0.816147,225.731,2.4445
388.908,1.05742,213.437,2.82594
337.088,1.4331,202.42,3.25711
303.185,1.84566,191.779,3.81081
275.984,2.34161,180.43,4.49894
254.256,2.89748,168.737,5.56693
236.593,3.56742,157.33,6.99953
222.593,4.24543,148.316,8.55781
210.891,5.07762,140.098,10.6957
195.849,6.41631,132.071,13.6105
184.998,8.01123,125.129,17.337
176.504,9.51476,119.982,21.4311
167.225,11.7734,112.882,28.7847
159.867,14.5391,108.347,36.9974
152.68,17.7759,104.935,45.0083
145.379,22.5976,100.619,57.6764
139.121,29.3076,96.7708,77.1575
132.866,37.7825,92.9764,106.255
126.26,50.696,89.4201,140.169
121.43,65.356,87.2123,172.923
115.277,92.6519,84.974,218.514
111.09,122.345,83.3748,264.502
107.269,159.309,82.1335,304.25
103.995,207.649,,
101.022,261.347,,
99.5187,296.738,,
