fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.019818,10000.0,0.019818
10000.0,0.019818,10000.0,0.01
9389.43,0.021598,8386.18,0.01
8286.14,0.025472,8386.18,0.01
7246.98,0.030526,8386.18,0.01
6089.62,0.039157,8162.78,0.010597
5304.66,0.048211,7618.54,0.012056
4625.5,0.059955,7039.84,0.014248
3894.58,0.079249,6114.02,0.018627
3338.71,0.103295,5411.82,0.023893
2836.54,0.139155,4634.76,0.032091
2378.77,0.191061,4069.76,0.041745
1980.97,0.273033,3412.98,0.05918
1713.58,0.364524,2937.58,0.079726
1479.32,0.493535,2465.97,0.112684
1263.12,0.677625,2145.96,0.148204
1098.1,0.905598,1843.35,0.199456
960.393,1.19105,1613.79,0.259977
852.645,1.55401,1422.74,0.333817
780.038,1.89807,1248.05,0.429918
705.102,2.43718,1113.58,0.538934
650.241,3.01573,939.495,0.737005
605.675,3.65407,860.353,0.888554
566.424,4.45863,797.389,1.0511
530.778,5.41321,747.208,1.2139
499.368,6.59851,698.785,1.4288
469.817,8.19762,660.068,1.64023
445.565,9.84383,616.059,1.95002
425.959,11.7264,568.694,2.41293
404.78,14.6412,532.372,2.90328
386.968,17.8471,497.872,3.5143
369.202,22.1502,470.758,4.20739
353.663,27.4083,446.011,5.03716
336.751,35.2282,415.442,6.42916
323.223,43.5473,388.908,8.27173
308.692,56.6475,368.833,10.225
296.588,72.0852,350.845,12.539
287.535,86.6476,330.413,16.1326
277.367,109.163,312.418,20.8394
266.492,141.436,295.995,27.0272
255.531,189.398,281.841,34.669
247.483,240.531,269.709,43.5473
242.825,274.747,257.326,55.86
239.689,296.146,247.731,70.6578
,,236.593,90.7265
,,225.957,118.374
,,216.88,149.433
,,209.63,185.276
,,203.231,234.358
,,197.817,273.103
,,194.677,299.721
