fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013057,10000.0,0.013057
10000.0,0.013057,10000.0,0.01
371.599,0.013043,142.083,0.01
322.733,0.013572,142.083,0.01
266.41,0.015163,142.083,0.01
224.99,0.017101,128.362,0.012182
192.189,0.019944,113.801,0.01536
158.32,0.024765,100.155,0.019756
133.844,0.030559,89.1664,0.0246
116.123,0.036813,78.3922,0.031672
89.1478,0.053927,68.7037,0.041078
75.9933,0.069098,60.8464,0.052175
64.9817,0.087616,53.5502,0.067175
55.6233,0.113326,46.8338,0.087763
47.8105,0.145207,39.8181,0.120932
41.5233,0.18821,34.0667,0.164561
36.0629,0.243185,30.2338,0.208363
29.8311,0.348134,25.9753,0.281765
25.962,0.453126,22.7651,0.365436
22.4314,0.60731,19.9933,0.471487
18.7874,0.855868,17.1772,0.638247
16.4186,1.14949,15.2287,0.814062
14.7253,1.51823,13.4026,1.0514
13.1383,2.09531,12.121,1.34523
12.0801,2.71584,11.0079,1.78712
11.2228,3.54601,10.1023,2.33726
10.4049,4.77753,9.25178,3.1115
9.65654,6.91125,8.67938,4.04814
8.98992,10.3058,8.11685,5.35547
8.44777,15.3998,7.63062,7.18184
8.1383,21.7026,7.28707,9.52104
7.93009,30.2035,6.97358,12.3741
7.7192,43.193,6.65961,16.8209
7.57649,56.87,6.38647,22.9134
7.48282,77.3454,6.19547,30.5356
7.42102,101.411,6.0798,40.6933
7.35973,140.691,5.95382,55.0287
7.31409,200.358,5.86104,74.4918
7.28382,261.329,5.76972,101.472
7.26874,301.278,5.72759,132.432
,,5.67387,177.04
,,5.63244,230.334
,,5.6089,299.045
