fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.012995,10000.0,0.012995
10000.0,0.012995,10000.0,0.01
9569.54,0.013431,5035.86,0.01
8869.2,0.014405,5035.86,0.01
8138.33,0.015621,5035.86,0.01
7400.78,0.017092,4852.94,0.010975
6872.89,0.018478,4533.91,0.012712
6389.05,0.020138,4106.56,0.015809
5649.6,0.023094,3664.11,0.019977
5081.39,0.026538,3315.42,0.0244
4529.38,0.030741,2794.31,0.034418
4033.3,0.036583,2395.48,0.046228
3570.07,0.043886,2045.38,0.062903
3259.54,0.050886,1760.48,0.08474
2925.85,0.061288,1533.55,0.111786
2650.07,0.072718,1353.35,0.145706
2429.26,0.083813,1093.72,0.221095
2143.81,0.104021,906.275,0.318491
1878.71,0.128843,779.259,0.429488
1694.83,0.15333,694.605,0.547627
1469.0,0.195115,623.496,0.688554
1305.5,0.240469,571.545,0.838483
1174.2,0.290497,529.717,0.993859
1043.5,0.360176,489.48,1.19224
940.435,0.431641,464.677,1.37278
839.111,0.533039,437.179,1.6142
777.702,0.615598,409.257,1.94807
722.23,0.712368,391.249,2.2656
673.402,0.835136,369.571,2.76168
630.393,0.973205,349.794,3.41385
576.712,1.20664,331.737,4.30959
543.127,1.42452,317.457,5.24798
514.576,1.66336,306.845,6.26415
487.526,1.93255,297.182,7.57493
467.006,2.2498,287.822,9.41067
442.457,2.66936,279.595,11.703
421.299,3.15138,271.061,14.4233
401.153,3.82608,264.633,17.8115
385.424,4.48547,260.954,22.5525
369.941,5.38621,256.555,27.99
357.217,6.47432,251.978,35.0525
346.66,7.56736,247.979,41.7979
337.088,8.8715,242.098,53.8848
329.753,10.39,236.593,68.2276
320.007,12.464,230.061,88.575
312.418,15.2083,224.156,117.196
305.62,18.6873,218.84,150.332
298.671,22.7791,214.722,191.301
291.88,28.1866,211.314,236.477
286.387,34.4272,208.167,269.037
279.875,43.941,207.129,297.035
275.157,55.637,,
270.79,67.2118,,
267.025,82.6694,,
263.84,102.806,,
260.432,135.212,,
258.099,175.537,,
255.531,222.483,,
254.002,272.013,,
252.23,300.922,,
