fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013231,10000.0,0.013231
10000.0,0.013231,10000.0,0.01
9323.93,0.013566,4325.75,0.01
8641.57,0.013993,4325.75,0.01
7788.01,0.01477,4325.75,0.01
7167.7,0.015667,4218.94,0.01045
6570.47,0.016803,3981.21,0.011723
5933.33,0.018313,3653.13,0.01384
5341.92,0.020279,3289.0,0.017126
4814.27,0.023048,2999.92,0.02034
4312.79,0.026248,2752.71,0.024013
3704.64,0.031963,2434.12,0.030771
3063.58,0.041206,2122.48,0.04039
2597.59,0.051966,1806.85,0.055345
2229.07,0.065535,1556.72,0.073743
1922.42,0.083062,1347.95,0.098356
1639.82,0.107082,1154.4,0.133833
1402.96,0.139993,996.593,0.177788
1186.0,0.188028,856.062,0.238553
1025.91,0.244837,734.612,0.319447
894.57,0.317854,639.28,0.419303
778.48,0.413887,552.439,0.556459
679.49,0.540013,475.013,0.745902
586.6,0.730402,408.031,1.00184
519.748,0.940673,350.144,1.35912
446.011,1.29413,310.86,1.77152
391.249,1.73818,290.424,2.08515
361.168,2.12514,272.147,2.4445
341.84,2.42502,256.299,2.85434
318.73,2.90618,243.312,3.28327
300.469,3.40363,228.913,3.91902
284.389,4.01823,215.582,4.63596
272.692,4.56694,201.612,5.73646
260.954,5.31133,189.113,7.16239
245.511,6.47432,180.25,8.49811
233.304,7.76669,170.945,10.2558
221.04,9.46731,162.934,12.6271
213.437,10.9445,157.172,14.6412
199.605,14.3944,146.254,20.4676
190.251,17.9546,138.012,27.6284
182.974,21.7333,130.496,37.7825
174.748,27.1627,124.38,51.4622
165.561,36.4465,118.907,69.5363
159.07,46.379,113.789,93.6767
155.453,53.7234,109.546,128.489
148.167,70.5166,104.935,177.834
141.082,97.3049,101.022,244.9
134.47,134.942,98.0371,300.922
129.715,178.19,,
124.754,238.853,,
120.825,297.63,,
