fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1356.06,0.012995,1356.06,0.012995
1356.06,0.012995,1356.06,0.01
1313.35,0.013404,710.055,0.01
1212.38,0.014391,710.055,0.01
1083.92,0.016032,710.055,0.01
995.597,0.017437,662.051,0.01148
908.998,0.019213,603.86,0.013593
814.311,0.021706,560.788,0.015872
728.759,0.024843,508.947,0.01906
658.749,0.028207,459.134,0.023373
596.657,0.032285,410.897,0.029447
543.127,0.036914,363.705,0.037811
497.374,0.042207,326.798,0.047068
452.751,0.048793,291.297,0.060255
410.487,0.057374,260.693,0.075913
375.156,0.067262,229.601,0.09767
335.406,0.080607,203.028,0.12516
295.109,0.099245,180.25,0.157526
261.215,0.122559,161.151,0.196094
221.261,0.162486,141.223,0.255595
199.406,0.193948,126.134,0.321691
177.744,0.239749,111.759,0.409359
158.435,0.297256,100.418,0.511626
140.378,0.375626,91.3178,0.618684
126.893,0.45196,84.4657,0.729672
115.277,0.53732,75.9706,0.922046
106.414,0.634346,70.2701,1.12619
97.9391,0.758691,64.9973,1.39911
91.3178,0.887666,60.7244,1.73297
86.2583,1.03441,57.1881,2.0956
81.235,1.21755,53.8039,2.54172
75.743,1.48266,51.1799,3.09826
71.1895,1.79291,48.4894,3.88391
67.5147,2.1209,46.8217,4.55326
63.9017,2.5647,44.7167,5.61725
60.9069,3.08281,43.0924,6.84038
58.0524,3.73535,41.5686,8.49811
55.3317,4.57608,40.1791,10.5575
52.4755,5.95865,38.8748,13.8024
50.5694,7.35841,37.8392,17.7937
49.3208,8.8715,36.9419,22.8476
48.1031,10.7493,35.886,30.4731
46.7749,13.0116,34.9999,40.8884
45.7113,16.2297,34.3069,54.3176
44.5381,19.8627,33.5268,80.7897
43.569,24.701,33.1601,109.82
42.7063,29.8101,32.7973,151.995
41.9444,37.2573,32.5685,202.928
41.1962,48.1272,32.4385,257.199
40.6235,61.9203,32.3737,298.226
39.8191,79.826,,
39.4229,103.632,,
39.1479,134.673,,
38.7196,173.616,,
38.5265,214.401,,
38.2577,260.564,,
38.2195,298.524,,
