fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
2118.24,0.012995,2118.24,0.012995
2118.24,0.012995,2118.24,0.01
2035.18,0.013499,1162.51,0.01
1893.8,0.014564,1162.51,0.01
1727.34,0.016016,1162.51,0.01
1555.17,0.017754,1112.47,0.010964
1376.55,0.020524,1031.06,0.012636
1212.38,0.024013,911.729,0.016016
1088.26,0.027649,826.618,0.019503
972.96,0.032349,730.218,0.02467
876.856,0.037584,646.351,0.031836
783.165,0.044952,565.292,0.041829
699.484,0.054412,502.373,0.053602
622.251,0.066128,437.179,0.071349
542.584,0.083062,381.589,0.094973
467.474,0.106547,330.083,0.125787
413.37,0.131972,288.398,0.1633
357.932,0.169795,250.471,0.213918
314.928,0.213704,215.798,0.290206
273.511,0.275777,184.628,0.398853
241.132,0.348484,162.934,0.510604
215.798,0.427346,149.806,0.604616
195.653,0.51265,136.776,0.74144
180.43,0.60704,127.02,0.877077
164.078,0.753399,116.436,1.08636
150.256,0.922968,107.377,1.34022
140.519,1.1061,98.9234,1.68681
132.733,1.30583,93.0694,2.04795
125.129,1.5324,88.177,2.47648
117.842,1.86421,83.5417,3.03691
110.979,2.23634,78.3625,3.84526
105.04,2.75892,74.5407,4.80109
99.3199,3.32624,71.4034,5.95269
93.7232,4.27953,67.7853,7.90776
88.5304,5.55025,65.3231,10.0326
84.7195,7.00654,63.1395,12.8564
81.6422,8.8715,61.2734,16.8583
78.7553,11.2441,59.4625,22.2612
76.0466,14.5391,57.4748,30.9646
74.0208,18.4644,55.9437,41.8816
71.905,23.8992,54.4534,59.1365
69.9196,31.9077,53.3752,83.1669
67.6499,42.685,52.528,114.417
66.2441,57.8497,51.8495,152.604
64.9323,79.5869,51.4879,209.946
63.8378,107.969,51.1287,267.161
62.8246,149.732,51.0776,296.442
62.2617,202.522,,
61.6422,258.747,,
61.519,300.321,,
