fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
4561.2,0.013324,1982.95,0.01
4185.33,0.013593,1982.95,0.01
3875.15,0.014021,1982.95,0.01
3595.15,0.014579,1907.1,0.010855
3256.28,0.015543,1711.87,0.013499
2949.35,0.016787,1506.19,0.017489
2682.06,0.018239,1241.83,0.025498
2473.38,0.019897,1110.25,0.031836
2139.53,0.023798,930.147,0.045132
1832.32,0.029447,823.318,0.057374
1521.33,0.038191,708.637,0.077369
1277.09,0.04958,617.91,0.101859
1090.44,0.063471,484.125,0.165107
953.694,0.078382,402.358,0.23927
784.733,0.108591,331.074,0.350932
664.705,0.144545,288.976,0.465259
539.878,0.209263,248.475,0.624902
457.759,0.284176,217.967,0.808835
384.269,0.390955,193.9,1.01901
320.327,0.549822,171.802,1.29802
272.147,0.762494,159.707,1.50056
233.771,1.03649,148.91,1.72433
205.068,1.34291,142.073,1.91523
181.516,1.71745,135.144,2.1508
163.587,2.13366,128.553,2.44206
151.009,2.5647,122.651,2.75066
141.789,3.02176,116.669,3.15769
133.666,3.54962,112.094,3.53192
126.134,4.17804,104.516,4.33986
118.788,4.96713,99.1214,5.15952
112.544,5.91117,93.817,6.17707
107.269,6.99953,87.2996,7.91567
102.447,8.28829,82.9589,9.62
97.9391,9.72641,78.4409,12.1927
93.3491,11.7852,74.7647,15.1931
89.7785,14.025,70.9054,19.823
86.2583,16.9598,68.2615,24.2361
82.6278,20.9858,65.9137,29.9895
79.5468,25.7091,63.2026,38.9721
76.6574,32.3575,61.2734,50.0413
74.0208,40.3603,59.4031,64.0618
72.4826,47.3633,57.5323,84.0868
70.6223,58.1978,55.8878,109.491
68.8098,71.8693,54.7264,138.635
67.178,87.8692,53.5891,183.984
66.0456,105.725,52.4755,227.659
64.5439,131.479,51.8495,269.307
63.5194,158.356,51.1799,304.25
62.1373,199.108,,
61.2734,244.655,,
60.482,296.442,,
