fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
2882.29,0.012995,2882.29,0.012995
2882.29,0.012995,2882.29,0.01
2760.98,0.013526,1492.7,0.01
2548.7,0.014448,1492.7,0.01
2341.02,0.01573,1492.7,0.01
2099.26,0.017298,1425.59,0.01103
1882.47,0.019484,1310.73,0.012866
1718.73,0.021598,1220.89,0.014726
1591.35,0.023467,1104.71,0.018058
1442.8,0.026645,1021.82,0.021043
1317.3,0.029952,913.554,0.02638
1211.17,0.033974,842.474,0.031174
1122.53,0.037886,761.54,0.03842
1049.78,0.042419,710.055,0.044504
989.642,0.046367,632.919,0.05652
911.729,0.053388,582.508,0.066194
857.776,0.059299,530.247,0.080446
815.126,0.064173,492.425,0.093092
744.969,0.075008,457.302,0.107726
692.524,0.083813,428.094,0.122559
617.91,0.102472,383.501,0.151501
570.403,0.116581,337.763,0.195311
529.188,0.132104,291.006,0.262065
491.933,0.150294,261.215,0.325901
461.436,0.167434,233.304,0.415131
414.612,0.201662,210.26,0.508057
386.195,0.230348,191.204,0.620543
348.746,0.277159,174.398,0.748143
316.506,0.327207,158.752,0.931313
282.971,0.400852,148.167,1.09509
263.576,0.460629,137.736,1.32822
244.287,0.52985,132.071,1.49009
227.544,0.620543,126.26,1.71745
212.373,0.708107,120.342,1.97553
200.005,0.825174,116.903,2.19864
188.358,0.952981,111.759,2.55957
179.351,1.08095,107.484,2.97083
169.244,1.25714,103.476,3.42411
161.151,1.44316,99.1214,4.05051
154.368,1.65672,95.3301,4.78671
147.428,1.90759,92.9764,5.3433
141.648,2.17459,90.0483,6.35882
136.913,2.47648,86.7774,7.73568
131.15,2.87439,84.3813,9.28913
127.274,3.25386,82.1335,11.2666
123.266,3.65407,79.9456,13.8439
118.907,4.33119,77.1959,18.2441
113.448,5.31665,75.6673,21.7116
109.875,6.30816,74.0208,27.2171
105.672,7.91567,72.6277,33.1104
102.447,9.25204,71.1895,43.5908
99.6183,11.0104,70.1297,52.3445
98.1352,12.4266,69.4319,63.2977
95.9998,14.8032,68.3982,73.0284
93.4424,18.6313,67.5823,89.734
91.7755,22.8019,67.0438,107.538
89.3307,28.243,66.3103,134.269
87.2996,36.7393,65.8478,163.342
85.5709,45.5972,65.3231,208.273
84.7195,54.9184,64.8026,248.105
83.3748,68.8444,64.2863,297.63
82.4627,82.3394,,
81.8056,99.6685,,
80.749,131.085,,
80.749,153.063,,
79.7061,203.537,,
79.4673,236.713,,
78.913,299.122,,
