fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1033.12,0.012995,1033.12,0.012995
1033.12,0.012995,1033.12,0.01
987.664,0.013566,551.335,0.01
898.155,0.014888,551.335,0.01
817.575,0.016242,551.335,0.01
744.969,0.017843,523.399,0.011152
673.402,0.019917,488.991,0.012649
615.443,0.022078,453.204,0.014594
561.349,0.024695,423.411,0.01662
509.966,0.027899,394.786,0.019117
475.013,0.030926,362.616,0.022502
439.371,0.034522,325.494,0.028151
405.59,0.03842,304.4,0.032414
373.285,0.043886,277.09,0.039432
342.524,0.049878,253.495,0.047021
316.19,0.057145,232.141,0.056689
297.182,0.06379,210.049,0.068689
278.758,0.070994,192.355,0.081826
251.224,0.08508,180.61,0.093279
224.38,0.103398,162.608,0.115537
205.068,0.120252,150.859,0.133565
186.857,0.141966,135.279,0.165768
179.171,0.153177,123.512,0.19629
160.829,0.1856,109.765,0.250033
145.67,0.223317,100.017,0.302352
129.845,0.277714,88.7076,0.387065
118.907,0.32525,80.1858,0.470405
107.377,0.396071,71.2608,0.592644
98.0371,0.469935,65.4539,0.711656
89.4201,0.564869,62.1994,0.80239
81.7238,0.683068,59.2844,0.896587
75.8188,0.812077,56.2804,1.03752
71.618,0.932245,53.5891,1.17684
68.6723,1.03752,51.4364,1.34425
65.1274,1.1863,48.8789,1.55712
62.1994,1.36048,46.7749,1.79829
59.7008,1.52171,45.3471,2.01343
56.6757,1.78575,43.3951,2.29984
54.4534,2.03977,41.8606,2.65605
52.6331,2.2838,40.0587,3.23116
49.7667,2.76168,38.565,3.807
48.055,3.17987,37.2014,4.47203
46.2632,3.71672,36.2466,5.06241
44.316,4.4765,34.9649,6.01252
42.9203,5.21137,33.5604,7.54469
41.3613,6.33978,32.6011,8.90706
40.0988,7.62814,31.2915,11.5172
39.187,8.89816,30.8873,13.341
38.296,10.547,30.3667,15.7658
37.5377,12.0594,29.8847,18.9887
36.6109,15.1022,29.2636,23.995
36.1019,16.9767,28.6269,30.6259
35.6713,19.5084,28.0881,38.7003
34.9649,23.8038,27.7253,45.78
34.41,29.3956,27.3672,56.9315
33.8977,35.0525,26.9328,70.5872
33.393,43.0709,26.6915,91.8218
32.9947,51.0522,26.5053,107.216
32.6337,59.8504,26.3204,135.89
32.471,67.4137,26.1368,161.555
32.1479,79.826,26.0846,200.708
31.828,98.9733,25.9805,241.013
31.6692,120.886,25.9286,297.63
31.3855,159.469,,
31.2602,201.714,,
31.1666,233.89,,
31.0422,273.377,,
30.8873,298.823,,
