fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1000.0,0.0133,1000.0,0.0133
1000.0,0.0133,1000.0,0.01
700.0,0.0135,272.6261,0.01
603.3846,0.0138,272.6261,0.01
505.4123,0.0151,272.6261,0.01
425.5598,0.0169,193.6278,0.0197
359.8205,0.0198,137.5206,0.0396
253.5127,0.0298,87.3855,0.097
180.1086,0.0496,50.4087,0.2889
119.5771,0.0981,32.7728,0.6676
93.6981,0.1467,28.0099,0.9438
64.3845,0.2872,24.265,1.4152
41.1718,0.6604,22.0509,1.9106
30.2741,1.4128,19.9349,2.8439
24.8613,2.8568,17.0732,4.8519
22.0531,4.6436,12.8799,7.6993
15.1854,7.6831,8.8391,14.681
13.1648,9.5779,6.3105,29.5638
10.402,14.4553,5.4328,48.5673
9.0179,19.2259,4.7458,80.3745
6.8917,38.7949,4.2993,149.9171
5.9066,68.6988,4.1284,200.9155
5.4796,96.573,3.9891,300.0
4.9424,194.2592,,
4.7061,300.0,,
