fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
5951.15,0.012995,5951.15,0.012995
5951.15,0.012995,5951.15,0.01
5757.97,0.013391,3060.52,0.01
5363.33,0.014262,3060.52,0.01
4926.28,0.015434,3060.52,0.01
4488.8,0.016837,2890.95,0.011219
4053.52,0.018701,2684.74,0.012956
3642.19,0.021064,2400.28,0.016064
3322.06,0.02328,2165.36,0.019699
3024.01,0.026432,1912.83,0.025345
2766.51,0.029506,1698.23,0.032188
2538.53,0.033501,1486.74,0.042376
2366.91,0.03736,1302.89,0.055567
2137.39,0.044106,1149.79,0.071923
1933.99,0.052279,1018.76,0.092166
1734.27,0.06284,891.89,0.119652
1535.08,0.076446,780.819,0.155647
1330.54,0.096891,680.17,0.206147
1156.71,0.122681,586.014,0.279665
985.691,0.160869,507.93,0.371145
860.353,0.203485,446.457,0.47656
757.742,0.254829,403.971,0.579169
674.076,0.313435,372.167,0.690623
590.13,0.397261,343.897,0.826826
530.778,0.482313,314.928,1.00988
485.094,0.569976,294.814,1.18156
446.904,0.672226,278.479,1.39074
412.132,0.798388,263.576,1.60615
386.968,0.927595,251.726,1.8273
363.705,1.07126,239.929,2.14436
340.475,1.26091,230.291,2.4543
322.255,1.48414,219.279,2.92367
304.4,1.73124,210.47,3.44127
285.529,2.11878,200.005,4.25393
269.709,2.55446,191.013,5.29542
255.275,3.09826,185.739,6.25164
242.34,3.7918,180.069,7.39529
228.227,4.85419,174.573,8.84493
218.84,5.86407,169.583,10.7924
210.681,7.17673,165.561,12.9079
201.612,9.05072,161.959,15.4382
194.288,11.4369,157.172,20.0223
188.924,14.2797,153.752,24.3333
182.974,19.3723,149.656,31.8121
178.635,24.2119,145.67,41.7562
174.748,31.2446,142.358,57.7341
169.753,42.5997,139.818,78.5589
166.391,56.365,137.461,103.632
163.914,72.7369,135.415,143.287
161.151,95.0924,134.201,188.83
159.388,131.611,132.999,241.495
157.487,177.834,132.733,276.4
156.232,238.138,131.939,295.554
156.076,299.122,,
