fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
457.759,0.012995,457.759,0.012995
457.759,0.012995,457.759,0.01
436.306,0.013553,238.971,0.01
412.544,0.014248,238.971,0.01
386.968,0.015159,238.971,0.01
352.251,0.016537,229.831,0.010898
326.145,0.017843,213.865,0.012674
304.705,0.01929,197.027,0.015038
284.674,0.020876,181.879,0.017612
263.313,0.02291,163.423,0.021749
240.409,0.02578,145.524,0.027484
216.23,0.029417,129.327,0.034625
200.205,0.032937,113.902,0.044371
182.243,0.037472,100.418,0.057259
167.393,0.042546,86.6906,0.07706
155.453,0.048019,77.6604,0.096505
142.643,0.055014,67.1109,0.128714
129.975,0.064045,58.2268,0.17133
120.222,0.073083,47.4818,0.253051
110.095,0.084655,41.155,0.336498
102.038,0.096891,35.6713,0.45196
92.5127,0.115076,31.9236,0.568269
85.9139,0.131314,29.0305,0.698961
78.0497,0.154253,26.9867,0.826
71.9769,0.177255,25.3137,0.959675
64.6731,0.214346,23.7919,1.1375
59.2844,0.247545,22.6542,1.32822
54.4534,0.28847,21.3136,1.61097
50.1163,0.339201,20.2944,1.91715
46.0785,0.394884,19.3433,2.31368
42.5358,0.462475,18.3815,2.86292
39.3835,0.53732,17.5903,3.50027
37.0529,0.617448,16.9005,4.30528
34.8254,0.706692,16.2704,5.29542
33.1932,0.801588,15.7265,6.69823
31.3541,0.922968,15.277,8.40515
29.9445,1.05531,14.7515,11.3344
28.5983,1.20905,14.2869,14.9669
27.3399,1.39771,13.7817,21.4955
26.0846,1.62879,13.3878,30.6565
25.0618,1.87168,13.0051,49.0994
24.1032,2.15511,12.6967,76.161
22.9506,2.62962,12.5077,114.646
21.9847,3.10757,12.3956,160.108
21.2498,3.65407,12.2846,222.038
20.3961,4.53055,12.2111,275.848
19.8131,5.3433,12.1259,297.332
19.1126,6.44847,,
18.5106,7.81343,,
17.9815,9.51476,,
17.4676,12.0232,,
16.9683,15.7343,,
16.6323,19.6062,,
16.3683,24.3333,,
16.0442,31.4012,,
15.7737,40.7252,,
15.5544,50.2921,,
15.3997,64.3186,,
15.277,78.4804,,
15.1552,103.115,,
15.1249,143.717,,
15.0947,193.611,,
15.0947,262.92,,
15.0495,299.421,,
