fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
1323.9,0.013245,539.338,0.01
1217.24,0.013472,539.338,0.01
1129.28,0.01384,539.338,0.01
1041.42,0.014477,511.498,0.011107
948.937,0.015296,474.064,0.013047
869.869,0.016389,417.524,0.016803
783.165,0.017825,380.446,0.020238
689.76,0.020097,351.899,0.023561
626.622,0.022479,316.19,0.029212
573.262,0.025143,274.059,0.038962
483.641,0.031143,243.799,0.04958
434.13,0.035931,221.04,0.060195
399.951,0.040028,207.959,0.068142
348.746,0.048501,191.779,0.079965
312.106,0.057202,178.813,0.091982
286.387,0.064818,165.231,0.108591
258.099,0.075989,155.764,0.121704
225.055,0.094783,142.643,0.145998
193.9,0.122681,134.47,0.162811
173.182,0.147465,117.137,0.214132
157.487,0.175316,102.857,0.27827
143.071,0.208636,91.3178,0.352339
123.76,0.273306,80.5071,0.451057
108.89,0.349182,70.6223,0.590278
93.9108,0.464329,64.9323,0.697564
82.7932,0.600399,60.2406,0.808835
76.1226,0.707399,54.1277,1.00585
69.7799,0.842686,50.4179,1.15816
64.415,0.989891,47.0093,1.35234
57.0168,1.2851,43.9629,1.57277
49.469,1.74515,40.8271,1.89239
46.3558,1.9934,38.7583,2.1508
43.7874,2.31831,36.3919,2.55701
41.1962,2.71242,34.3412,3.03084
39.2655,3.12627,32.6991,3.46198
37.6505,3.54608,31.0732,4.10351
35.7785,4.14475,29.5873,4.79629
33.9655,4.93742,28.1443,5.73646
32.536,5.69076,27.1492,6.4808
30.9492,6.89532,25.5937,8.1649
30.1247,7.65871,24.3211,10.0126
28.8568,9.1143,23.7206,11.1211
27.976,10.3485,22.859,13.2612
26.9059,12.4889,22.2501,15.057
26.2416,14.1943,21.5709,17.7404
24.7134,19.1412,21.0594,20.2842
23.5552,25.6577,20.3961,24.3576
22.6769,33.5101,20.0523,27.1627
21.9188,43.5473,19.4014,33.7117
21.1861,58.3727,19.0935,37.8582
20.663,76.4662,18.5848,45.9635
20.1932,101.478,18.2351,51.6168
19.6749,133.867,17.7848,63.4244
19.3433,182.518,17.485,73.1746
18.9224,242.706,16.9683,94.7128
18.5477,298.524,16.6157,115.798
,,16.3847,130.301
,,16.0763,158.356
,,15.8369,176.947
,,15.4614,238.376
,,15.0947,299.721
