fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1000.0,0.0133,1000.0,0.0133
1000.0,0.0133,1000.0,0.0101
700.0,0.0135,272.6261,0.0101
603.3846,0.0138,272.6261,0.0101
505.4123,0.0151,272.6261,0.0101
425.5598,0.0169,159.075,0.0298
359.8205,0.0198,111.5789,0.0599
253.5127,0.0298,86.8419,0.0987
180.1086,0.0496,61.2305,0.1945
119.5771,0.0981,43.4878,0.3868
93.6981,0.1467,30.7263,0.7684
64.3845,0.2872,24.1894,1.4422
41.1718,0.6604,19.8315,2.9165
30.2741,1.4128,17.6877,4.9185
24.8613,2.8568,15.8579,8.8898
23.1603,3.7997,15.0857,9.8631
21.9843,4.7814,11.9507,14.7273
19.5621,8.6008,8.7204,30.0014
14.4293,14.365,7.2091,49.8584
12.5747,19.2662,6.3964,81.3077
10.6544,28.9258,5.7347,151.6578
8.9711,48.768,5.5643,201.7607
7.8017,86.721,5.4328,300.0
7.1403,145.5996,,
6.5281,300.0,,
