fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
3066.65,0.013271,1229.47,0.01
2758.22,0.013485,1229.47,0.01
2541.07,0.01373,1229.47,0.01
2366.91,0.014177,1145.2,0.011423
2204.69,0.014726,1030.03,0.014134
2014.93,0.015667,893.676,0.01887
1796.04,0.017092,791.036,0.024133
1643.1,0.01846,701.586,0.030741
1524.37,0.019957,633.553,0.038076
1419.9,0.021924,554.653,0.049779
1229.47,0.026353,500.368,0.06135
975.883,0.036364,432.397,0.082071
790.245,0.049679,378.548,0.108809
630.393,0.070217,327.78,0.144545
532.372,0.092628,289.844,0.185971
428.951,0.134235,253.748,0.242401
364.069,0.179575,225.957,0.307536
308.383,0.241192,201.813,0.383981
260.954,0.327534,181.516,0.477514
213.651,0.480868,161.151,0.608864
178.992,0.672898,144.365,0.757933
151.312,0.941614,130.757,0.928523
135.55,1.17684,113.675,1.22978
122.283,1.4288,103.891,1.49457
111.647,1.71059,95.1396,1.77862
102.447,2.02757,87.7372,2.0789
95.6165,2.38414,81.8875,2.40089
88.9741,2.81747,77.2731,2.73147
84.0444,3.29314,72.9917,3.16085
78.7553,3.91902,68.6723,3.71672
74.3175,4.64059,64.6085,4.39665
69.7101,5.66804,61.151,5.20096
66.1779,6.79946,57.9364,6.17089
61.8892,8.60071,54.1277,7.72023
58.9887,10.2148,51.0265,9.69727
56.1679,12.4018,48.6351,11.6562
53.5356,15.1628,46.2632,14.3801
50.7721,19.6258,44.2717,17.7227
48.2476,24.9992,42.5358,21.5386
46.4022,32.0035,40.4613,28.1303
44.851,40.5221,38.9916,35.9758
43.3084,50.8992,37.5002,48.0791
41.6935,67.1446,36.1019,64.3829
40.3401,87.9571,34.93,85.3576
39.3048,111.257,33.8977,116.962
38.488,142.145,32.9617,166.976
37.6882,176.593,32.1479,224.046
37.0158,218.951,31.4798,300.922
36.2466,269.846,,
35.9219,298.226,,
