fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1000.0,0.0133,1000.0,0.0133
1000.0,0.0133,1000.0,0.01
700.0,0.0135,271.4944,0.01
603.3846,0.0138,271.4944,0.01
505.4123,0.0151,271.4944,0.01
425.5598,0.0169,158.9096,0.0298
359.8205,0.0198,112.5111,0.0593
253.5127,0.0298,87.1133,0.0981
180.1086,0.0496,62.1285,0.1949
119.5771,0.0981,43.6691,0.3868
93.6981,0.1467,29.3214,0.8687
64.3845,0.2872,22.212,1.9348
41.1718,0.6604,18.6318,3.8759
30.2741,1.4128,16.2757,7.7805
24.8613,2.8568,14.9452,14.8203
23.1603,3.7997,14.1584,26.3682
20.1624,7.6751,11.827,40.0808
18.3955,14.5462,9.8488,70.567
17.2444,26.2477,8.4174,151.9764
14.3993,38.9981,7.7939,300.0
12.6272,58.6733,,
11.0848,97.3835,,
10.2727,145.9041,,
9.8944,196.0943,,
9.55,300.0,,
