fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.013298,10000.0,0.013298
10000.0,0.013298,10000.0,0.01
6928.09,0.019175,5554.37,0.01
6016.98,0.022728,5554.37,0.01
4882.15,0.029535,5554.37,0.01
3957.39,0.038962,5379.44,0.010629
3256.28,0.050988,5030.83,0.011984
2711.72,0.066792,4593.24,0.014362
2308.47,0.085763,4053.52,0.018368
1916.66,0.116232,3513.4,0.024181
1648.04,0.151652,2934.64,0.034487
1329.21,0.224436,2374.02,0.051914
1144.06,0.296959,1977.01,0.07441
993.608,0.391738,1556.72,0.117518
853.498,0.528791,1330.54,0.158316
731.68,0.721689,1125.9,0.219992
634.821,0.97029,947.989,0.305696
550.234,1.31106,805.403,0.415962
473.591,1.8037,705.808,0.535175
416.274,2.34396,627.876,0.673572
379.685,2.90328,543.67,0.893901
355.791,3.40703,476.441,1.15124
329.753,4.19479,426.812,1.4231
307.459,5.1184,379.685,1.78218
289.554,6.15241,347.354,2.09141
273.785,7.46215,327.453,2.39131
260.172,8.85378,309.31,2.71513
248.475,10.5999,292.172,3.14823
235.885,12.9338,274.333,3.69818
225.505,15.4846,260.432,4.29668
213.437,19.9623,247.236,5.03213
203.842,25.2505,233.071,6.02455
196.83,30.9956,218.84,7.46215
190.251,38.2004,207.752,9.07791
183.34,48.4653,197.817,11.0656
177.389,61.0595,188.924,13.4079
173.009,76.3898,181.334,16.2459
167.393,100.268,173.355,20.1629
162.934,130.171,166.225,25.4024
159.07,167.477,159.707,31.9077
155.608,215.476,154.523,41.0523
151.615,297.035,148.613,54.4263
,,144.22,70.7285
,,140.66,94.5236
,,137.736,118.374
,,134.47,160.268
,,132.203,212.056
,,129.975,267.428
,,128.939,299.721
