fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
1014.69,0.013192,391.249,0.01
913.554,0.013338,391.249,0.01
850.091,0.013499,391.249,0.01
794.206,0.013813,374.781,0.010986
736.083,0.01429,345.276,0.012918
682.896,0.014978,297.479,0.017367
626.622,0.015825,259.652,0.022502
568.694,0.017057,222.37,0.030435
521.831,0.018349,191.013,0.041001
482.192,0.019937,159.07,0.058709
409.666,0.024351,130.105,0.086625
309.001,0.035325,113.448,0.113817
252.483,0.046693,98.0371,0.151349
204.454,0.063853,85.7423,0.195898
171.974,0.083729,72.6277,0.270587
144.654,0.11134,61.8892,0.371516
121.552,0.150896,51.7459,0.525628
102.038,0.206974,45.3018,0.67492
86.0859,0.286172,40.6641,0.836808
69.9196,0.423094,37.8014,0.972233
57.7051,0.623653,35.4225,1.12844
48.1031,0.899281,33.4598,1.28767
41.5271,1.19344,31.4483,1.48711
38.565,1.41317,29.825,1.70888
36.3555,1.60775,28.2007,1.99938
34.1017,1.88107,26.879,2.30214
32.0516,2.20966,25.6193,2.66137
29.9745,2.66137,24.2725,3.17035
28.1162,3.22793,23.1581,3.72044
26.3204,4.02225,21.679,4.67319
24.7629,5.00703,20.5189,5.71928
23.3675,6.27042,19.5768,7.08404
22.1613,7.89196,18.622,8.82726
21.1649,9.5816,17.7493,11.1992
20.2539,11.9513,17.156,13.2612
19.382,15.1022,16.4503,17.2851
18.7528,18.7998,15.8053,22.0838
18.1623,23.3792,14.8998,33.9146
17.6079,29.7505,14.445,45.0083
17.1731,36.7026,13.9481,62.0443
16.6823,48.0791,13.5766,85.1019
16.3519,62.2307,13.2149,131.742
15.9801,81.3572,12.7731,189.398
15.7265,104.673,12.4952,252.106
15.4768,142.003,12.408,300.021
15.3075,181.789,,
15.1098,232.956,,
15.0194,273.924,,
14.9595,299.421,,
