fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
3708.34,0.013338,1581.83,0.01
3395.95,0.013553,1581.83,0.01
3185.42,0.013854,1581.83,0.01
3002.92,0.01429,1510.72,0.011052
2774.82,0.014903,1394.57,0.01293
2541.07,0.015952,1275.81,0.01545
2371.65,0.01677,1183.63,0.018004
2158.87,0.018276,1109.14,0.020442
1971.09,0.020077,1026.94,0.023798
1689.76,0.024449,965.207,0.026859
1398.76,0.031143,887.442,0.03174
1159.03,0.040552,803.794,0.03869
979.794,0.051966,730.948,0.046599
830.762,0.066792,643.128,0.060376
725.124,0.083479,588.362,0.072211
629.763,0.104961,528.659,0.089353
542.584,0.136673,475.013,0.110012
460.975,0.181924,406.402,0.149096
405.185,0.229888,354.016,0.195898
354.725,0.292537,301.975,0.269237
308.383,0.381303,264.368,0.349531
269.979,0.493535,228.684,0.468059
238.255,0.627406,205.89,0.575129
208.793,0.812889,188.735,0.689243
183.523,1.05637,173.009,0.818599
157.96,1.4288,152.527,1.0511
137.049,1.87543,136.502,1.32027
124.629,2.28152,125.505,1.54781
118.314,2.55191,117.96,1.75214
110.315,3.04604,109.546,2.02757
105.04,3.4344,104.307,2.316
98.8245,4.10761,99.0224,2.63752
94.476,4.67319,95.0445,2.92075
87.9128,5.82316,89.5096,3.45161
83.3748,6.90222,85.9999,3.87227
80.266,7.89985,80.5877,4.67319
76.6574,9.42009,77.5828,5.29013
74.3918,10.5154,73.431,6.27042
71.5464,12.4515,70.693,7.16239
68.8098,14.4521,66.7094,8.80081
66.3103,17.1302,64.1578,10.1334
64.9323,18.9318,61.7038,12.1441
62.1994,23.5199,59.4031,14.025
60.4216,27.8504,55.7761,18.7622
58.6945,33.0442,53.6427,22.9621
57.4173,39.3638,52.2138,26.8119
56.1679,44.7838,50.8228,31.9396
54.3446,57.1596,49.1731,38.8943
52.6331,75.6297,47.6244,47.6483
51.6426,88.8411,46.2632,59.1365
50.9246,103.528,44.851,74.8023
50.0162,125.192,43.8312,93.3961
49.3208,140.029,42.4084,125.067
48.2959,182.336,41.4441,156.311
47.6244,222.928,40.6641,189.019
46.8217,263.183,39.7793,240.531
46.4022,298.524,39.0306,302.128
