fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
1730.8,0.012995,1730.8,0.012995
1730.8,0.012995,1730.8,0.01
1659.61,0.013499,913.554,0.01
1539.69,0.01442,913.554,0.01
1439.91,0.015373,913.554,0.01
1331.87,0.016603,878.612,0.010931
1213.59,0.018058,817.575,0.012436
1092.63,0.02032,750.202,0.01474
984.706,0.02291,681.532,0.017718
924.583,0.024794,614.214,0.021837
832.425,0.028434,560.788,0.0263
760.779,0.032285,503.883,0.032674
715.759,0.035431,456.388,0.04035
657.433,0.040108,416.69,0.048404
606.887,0.045722,375.156,0.060678
572.117,0.049829,347.701,0.07071
529.717,0.057031,313.984,0.087234
489.969,0.065535,289.844,0.102063
455.021,0.074187,259.912,0.127051
414.198,0.086366,238.971,0.146876
387.743,0.097474,215.367,0.178322
360.086,0.109902,196.241,0.215205
324.843,0.130921,177.389,0.264964
292.464,0.158157,160.508,0.32137
263.05,0.189918,145.961,0.390955
236.593,0.229888,133.532,0.472763
214.937,0.274951,118.788,0.589688
195.653,0.332152,111.759,0.669542
178.1,0.390565,105.461,0.763257
158.593,0.486674,100.017,0.863156
145.524,0.572833,95.6165,0.979062
130.626,0.723858,90.6808,1.10831
118.907,0.901982,86.5174,1.26723
110.757,1.07448,80.9916,1.51564
104.83,1.25463,77.5053,1.72951
97.8412,1.54317,74.6153,1.95979
92.0513,1.83462,71.1895,2.36042
87.2123,2.21852,68.5351,2.6935
83.2082,2.59826,66.0456,3.09207
80.0255,3.00069,62.9503,3.70559
77.1959,3.44472,60.482,4.39665
74.3175,4.07896,58.812,4.94236
71.4749,4.99702,57.1309,5.80572
69.2239,5.85235,55.3871,6.71836
66.9768,6.99953,53.4286,8.46419
65.3885,8.05138,51.8495,10.174
63.0133,10.2353,50.1664,12.8436
61.8892,11.7499,49.0258,15.9561
59.8204,15.1173,47.8153,20.4472
58.6358,18.299,46.7281,25.8638
57.0738,23.4494,45.8945,30.9337
56.1679,27.4357,44.8959,39.5216
55.0007,35.0174,44.1391,46.9389
54.0195,42.5997,43.5255,60.5729
52.9499,55.0834,43.0063,72.9554
52.4755,65.03,42.5358,93.3027
51.6942,84.0868,42.0705,111.48
51.5909,100.168,41.5686,162.041
51.1799,123.205,41.3613,236.004
50.9246,153.369,41.1139,297.928
50.5694,198.711,,
50.2166,229.947,,
50.0162,300.922,,
