fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0131,10000.0,0.0131
10000.0,0.0131,10000.0,0.01
2178.39,0.013245,956.559,0.01
2037.22,0.013418,956.559,0.01
1930.12,0.013648,956.559,0.01
1805.04,0.014049,921.813,0.010779
1681.33,0.014637,878.612,0.011901
1498.68,0.015841,830.762,0.013338
1380.69,0.016972,777.702,0.015113
1239.35,0.018627,675.426,0.019897
1133.81,0.020668,584.258,0.026485
1000.58,0.024303,510.986,0.034281
886.555,0.028519,450.944,0.04393
788.666,0.033334,393.21,0.057835
711.477,0.038497,342.524,0.076217
671.385,0.041913,295.995,0.101656
610.54,0.048501,269.439,0.121826
537.185,0.058885,249.222,0.141825
486.065,0.06931,220.598,0.181379
435.434,0.082648,188.924,0.245082
383.501,0.10237,166.558,0.313749
338.1,0.126671,144.076,0.418047
293.343,0.162323,125.254,0.550372
257.583,0.204096,108.564,0.730402
222.815,0.26576,94.7598,0.952029
192.74,0.348484,86.8642,1.13978
167.56,0.452865,81.7238,1.27486
145.67,0.595019,75.8188,1.47232
127.02,0.775567,70.9763,1.70376
111.535,1.00887,66.843,1.94223
98.0371,1.29542,63.1395,2.2453
89.9583,1.55556,59.4031,2.61651
84.8043,1.77684,56.6757,2.97083
79.5468,2.06234,54.0195,3.39683
75.6673,2.36042,51.1799,4.0303
70.7637,2.79502,46.9154,5.38621
67.989,3.14194,43.919,6.71836
63.774,3.78423,42.0284,7.8369
61.151,4.30528,39.5018,10.0627
58.3434,5.01705,37.6882,12.3153
56.5625,5.56136,36.2829,14.4956
54.0736,6.50677,34.8602,17.7404
52.423,7.32171,34.1017,20.1025
50.3172,8.66112,32.471,26.9732
48.7325,9.62,31.0732,35.9758
46.8217,11.3798,29.7654,49.0504
45.7113,12.6777,28.6842,66.543
44.0069,15.2388,27.5044,96.1442
42.9633,16.9598,26.6915,133.733
40.9498,22.128,26.0586,180.161
38.7971,30.1398,25.6706,217.859
37.5002,37.707,25.4406,246.867
36.9419,41.6727,25.0618,299.421
35.5289,55.3595,,
34.5479,69.3973,,
33.6276,86.388,,
33.0938,99.6685,,
32.18,129.004,,
31.5428,156.938,,
30.9801,184.906,,
30.2455,245.39,,
29.5873,297.035,,
